#{"t_start": 1767384141.7273915, "env_id": "LunarLander-v3"}
r,l,t
-195.884031,114,1.213984
-103.990135,100,1.226877
-34.888987,74,1.236193
-83.826748,60,1.244309
-181.159446,70,1.255143
-93.221427,111,1.268974
-360.347362,82,1.27964
-104.942468,105,1.293198
-199.337646,131,1.311366
-111.110708,72,1.323032
-95.007019,62,1.330837
-104.342832,67,1.339421
-129.16211,99,1.357204
-204.70333,96,1.369124
-382.006134,102,1.381644
-386.95921,75,1.391209
-233.621946,97,1.404754
-109.464256,83,1.415597
-145.646637,87,1.42683
-98.514049,76,1.436482
-76.413169,109,1.454043
-106.115622,83,1.464916
-176.988028,118,1.479826
-357.676294,132,1.501347
-254.95683,119,1.519308
-104.192319,145,1.537602
11.731938,63,1.546193
-142.65558,118,1.564529
-438.685569,156,1.58572
-99.66529,84,1.596457
-305.786643,124,1.612565
-104.534614,87,1.623662
-41.210218,86,1.636063
-225.254305,81,1.646625
-311.758908,80,1.657617
-237.009054,90,1.669422
-298.094026,81,1.684156
-430.363448,99,1.697002
-136.724286,86,1.708235
-323.33217,116,1.725336
-188.460507,118,1.741794
-158.711122,78,1.752022
-102.147249,122,1.767456
-336.319026,102,1.780586
-132.675231,75,1.79475
-224.508623,118,1.810095
-87.101165,101,1.823933
-355.152132,132,1.841121
-127.17445,64,1.850937
-292.565326,104,1.863983
-423.572606,68,1.87242
-173.779601,123,1.893207
-159.060741,112,1.91317
-444.809523,92,1.927068
-376.668913,108,1.950303
-57.075017,63,1.964391
-293.703941,119,1.992243
-107.269037,70,2.006027
-119.97149,68,2.019477
-69.658985,64,2.028599
-310.276052,124,2.059108
-171.190544,64,2.068763
-433.016858,101,2.083287
-174.609005,142,2.103963
-93.366997,68,2.116559
-88.377627,118,2.1342
-435.690018,110,2.154223
-161.68652,63,2.163999
-234.422934,109,2.181251
-77.857294,112,2.197173
-319.368526,99,2.211273
-102.261053,59,2.219738
-129.028937,71,2.231417
-95.169901,92,2.244683
-288.967966,109,2.260058
-351.943235,127,2.280081
-123.751045,64,2.290911
-69.483739,73,2.301365
-132.025201,54,2.309009
-80.148566,61,2.317519
-193.646806,94,2.33189
-287.155512,105,2.346123
-114.837622,84,2.357702
-118.477029,65,2.36689
-142.452237,69,2.378034
-427.179554,103,2.392257
-312.079852,99,2.408463
-248.120914,83,2.420373
-94.820812,60,2.430128
-220.552727,126,2.446881
-178.188942,113,2.461728
-198.138344,91,2.473517
-74.124396,116,2.490169
-391.813938,92,2.503562
-310.191919,90,2.515989
-59.912662,72,2.528821
-182.122953,71,2.539922
-218.384517,67,2.549217
-321.055758,104,2.562734
-142.042991,92,2.57482
-282.741641,97,2.589207
-72.899552,63,2.597628
-208.262555,101,2.613147
-55.376574,107,2.628367
-83.827136,66,2.638662
-173.341391,76,2.651613
-432.019018,109,2.666067
-97.353866,62,4.234823
-273.521151,98,4.384566
-242.714825,63,4.466103
-101.262437,115,4.600751
-298.35537,106,4.740695
-271.002215,115,4.878245
-119.35545,122,5.053865
-89.294911,137,5.249112
-345.458216,84,5.377735
-130.333652,79,5.496783
-68.062779,73,5.615693
-108.728709,112,5.765515
-203.101983,88,5.890792
-37.490636,74,5.984417
-305.029175,100,6.094946
-77.171406,91,6.215105
-176.514664,92,6.328928
-201.574344,127,6.492739
-182.828281,82,6.614225
-113.424543,95,6.737709
-164.465904,99,6.86621
-89.810986,104,7.012235
-180.02059,60,7.105402
-1.847433,135,7.300119
-252.08937,113,7.465135
-292.541855,113,7.612503
-94.076964,109,7.758187
-151.131403,59,7.846148
-98.420167,98,7.969934
-296.237376,107,8.122646
-401.250974,113,8.283722
-175.74786,106,8.434874
-214.975025,139,8.602039
-87.491773,77,8.70199
-109.389646,95,8.822463
-136.832642,69,8.921569
-227.928569,108,9.074245
-118.785959,87,9.211926
-122.923999,60,9.285935
-195.479098,132,9.475816
-61.24062,126,9.62263
-143.488597,116,9.7854
-81.194439,83,9.878896
-112.698321,92,10.012447
-138.341402,95,10.148762
-317.182512,79,10.247309
-120.665458,81,10.359921
-143.641204,113,10.515007
-396.921534,98,10.644469
-93.312823,159,10.880643
-92.557847,81,10.988468
-113.338209,111,11.128164
-80.08261,69,11.222726
-236.900659,126,11.390203
-102.550345,93,11.511896
-116.447733,83,11.633448
-99.09669,73,11.746747
-295.255393,128,11.926018
-164.450978,132,12.103422
-256.270183,76,12.21238
-154.904016,105,12.362895
-272.257368,144,12.587807
-199.878124,110,12.724058
-117.041781,110,12.893156
-77.828112,92,13.00869
-131.513056,91,13.223276
-270.540615,94,13.395734
-200.458022,78,13.524465
-164.317857,87,13.661926
-105.742029,64,13.75746
-91.749644,143,13.956721
-220.101153,92,14.098484
-132.674081,103,14.239789
-71.158553,67,14.335064
-236.102837,68,14.42686
-82.515818,96,14.583412
-122.020785,149,14.821978
-100.621492,101,14.950259
-90.883253,88,15.058022
-253.647818,98,15.201097
-72.229866,69,15.313355
-85.033913,78,15.405415
39.646919,100,15.545945
-233.415447,111,15.681488
-236.700961,115,15.81083
-60.371502,126,15.987555
-75.695933,75,16.080065
-53.284082,73,16.173634
-85.745518,84,16.283231
-87.19267,74,16.401438
-321.708712,136,16.60058
-73.719801,101,16.726309
-109.999216,108,16.883196
-298.356125,138,17.062862
-132.805273,94,17.214408
-129.144373,104,17.332108
-185.606897,72,17.431183
-110.326725,97,17.563357
-96.90203,134,17.733532
-150.003695,76,17.843006
-145.392461,153,18.028944
-110.193477,132,29.324002
-189.750922,86,29.446253
-258.191007,141,29.619706
-160.895199,148,29.847221
-271.698959,102,29.989996
-77.246221,126,30.161334
-74.07352,64,30.227092
-221.179598,116,30.365247
-124.498739,67,30.454813
-88.480174,118,30.627017
-97.192473,115,30.783407
-55.738736,78,30.897619
-227.319854,99,31.040569
-445.69288,95,31.177196
-117.305435,101,31.310912
-86.405303,72,31.418411
-172.339712,101,31.543551
-251.734673,74,31.645414
-248.844915,116,31.790442
-86.562017,121,31.94611
-257.44209,75,32.065745
-269.636082,142,32.270419
-80.795968,82,32.382959
-217.784936,78,32.474709
-236.815814,75,32.569948
-181.74047,67,32.667313
-133.94671,87,32.771801
-329.635079,129,32.917985
-171.7069,83,33.043263
-205.53017,97,33.185756
-144.938704,92,33.291991
-57.64045,101,33.421467
-129.635664,86,33.523614
-84.914959,95,33.647351
-64.37223,114,33.810326
-74.458803,126,33.95871
-83.246181,141,34.147317
17.414672,84,34.261234
-216.364868,77,34.35865
-131.032741,76,34.446601
-67.042171,71,34.549295
-123.034936,119,34.72599
-137.783129,102,34.881893
-64.848365,84,35.002865
-173.309393,111,35.139051
-225.582089,124,35.326579
-83.776139,92,35.467536
-251.320315,117,35.671995
-220.131247,102,35.842302
-136.264518,125,36.025858
-188.637059,106,36.18307
-65.278157,134,36.361516
-52.076558,91,36.487026
-116.960632,89,36.607163
-457.014144,124,36.77334
-144.27489,122,36.940189
-87.997254,105,37.091964
-223.842759,102,37.247339
-205.186961,74,37.325891
-159.786032,68,37.422564
-139.396281,80,37.533147
-80.063112,114,37.670353
-110.839789,71,37.751775
-151.967898,76,37.846106
-124.813995,95,37.988919
-213.953709,135,38.169831
-62.891138,58,38.24602
-135.854052,149,38.47288
-177.20422,64,38.567916
-60.898505,108,38.693372
-66.399972,83,38.808654
-72.047103,69,38.896217
-110.222329,88,38.998846
-324.816324,93,39.13839
-88.308208,85,39.265127
-342.138286,127,39.431949
-116.15666,128,39.61826
-158.929326,69,39.712808
-104.540329,98,39.854671
-101.853785,108,40.008641
-4.658378,144,40.226372
-147.964815,68,40.321921
-297.688751,120,40.485352
-88.678967,75,40.580658
-135.328319,68,40.681046
-111.349726,169,40.918209
-155.1232,88,41.033017
-102.831444,81,41.140655
-81.50515,65,41.229721
-233.362984,144,41.436079
-134.866983,104,41.588768
-287.0123,97,41.716643
-459.034564,156,41.941448
-101.433426,136,42.132811
-183.774233,141,42.320492
-273.358516,163,42.591674
-105.729011,106,42.738062
-166.983484,67,42.839242
-70.62751,129,54.410504
-253.68669,117,54.566194
-207.545369,100,54.686267
-251.738971,115,54.848542
-81.919345,85,54.963188
-191.127176,145,55.147052
31.05463,1000,56.49055
-114.140937,115,56.672459
-127.0661,67,56.772405
-77.722631,72,56.875724
-63.583004,64,56.959161
-113.736294,103,57.11646
-131.202206,112,57.250872
-110.697112,112,57.411505
-75.472884,134,57.615491
-54.295875,76,57.700557
-182.976258,123,57.878737
-381.645707,125,58.055331
-131.832345,77,58.160275
-4.547544,69,58.253815
-217.876672,70,58.355986
-117.712457,127,58.537115
-64.53372,72,58.643313
-68.101172,64,58.745772
-122.262688,123,58.91145
-109.863712,66,58.994064
-126.042671,97,59.112947
-91.404289,116,59.277485
-97.92943,67,59.349741
-129.213865,107,59.496983
-191.872603,113,59.663143
-208.430485,86,59.773399
-178.197228,120,59.941896
-104.485372,127,60.112856
-113.121647,96,60.26855
-244.193182,80,60.352515
-169.414642,122,60.513966
-1.48258,138,60.692738
-102.486985,130,60.854095
-126.510828,99,60.987562
-87.956521,70,61.090439
-132.973051,144,61.299042
16.662814,172,61.519276
-79.238708,85,61.638614
-134.966836,90,61.764542
-255.341528,147,61.960617
-135.956023,115,62.130554
-88.980151,115,62.31013
-76.924065,147,62.516122
-102.437151,99,62.677108
-28.665058,147,62.876699
-340.734714,78,62.98265
-98.415304,118,63.121017
-294.046564,150,63.313493
-103.702824,58,63.401763
8.409999,141,63.57339
-163.499763,73,63.670862
-218.300111,94,63.81609
-186.985568,104,63.95143
-85.358111,75,64.055484
-117.956354,141,64.248613
-107.620102,81,64.367627
-173.991847,135,64.535826
-127.827132,106,64.682666
-98.505587,122,64.870925
-259.126443,129,65.055282
-125.079438,80,65.176547
-84.460203,67,65.253783
-111.122437,114,65.429693
-36.444914,144,65.638509
-109.928071,83,65.764863
-167.019991,95,65.906145
-185.403525,80,66.010101
-154.010033,124,66.198863
-57.602118,109,66.365092
-62.290501,126,66.527884
-111.501432,81,66.637056
-96.449549,132,66.835176
-163.520026,115,66.990695
-80.246244,75,67.08657
-64.495845,72,67.195915
-100.218595,85,67.315525
-257.074225,140,67.498523
-90.162475,67,67.600737
-38.468502,67,67.674487
-176.859137,119,67.826922
-149.003948,76,67.939085
-85.839216,80,68.053479
-108.059689,128,79.528603
-87.872708,77,79.641201
-189.365858,85,79.754488
-249.195173,100,79.90458
-182.41527,95,80.043267
-131.18566,102,80.192489
-68.086716,94,80.333424
-124.938657,121,80.496668
-79.046996,143,80.705413
-92.847214,124,80.87225
-74.203905,148,81.072335
-101.253388,113,81.219994
-62.532191,113,81.371969
-98.442275,98,81.507495
-119.091739,111,81.665067
-262.976108,108,81.805024
-119.846745,99,81.941163
-24.956981,94,82.075545
-86.016203,119,82.233057
-75.958299,162,82.484718
-122.284716,92,82.618128
-87.309673,151,82.821208
-109.220222,110,82.972841
-75.661018,120,83.125494
-108.061617,126,83.310572
-86.14046,66,83.395005
-137.065804,96,83.529946
-102.500666,67,83.639845
-130.214304,91,83.772178
-224.914949,85,83.878353
-73.872169,109,84.010127
-118.312851,114,84.161237
-70.983906,79,84.264452
-102.683689,92,84.389407
-50.388568,131,84.560531
-105.62383,66,84.6458
-160.462469,66,84.714771
-170.140104,55,84.79355
-58.896233,76,84.920426
-93.552089,86,85.020416
-218.123318,157,85.255636
-68.678234,84,85.375279
-160.994969,96,85.517102
-63.853576,82,85.628605
-93.654193,90,85.749941
-67.882668,92,85.880441
-152.577229,132,86.074925
-51.92849,76,86.161787
-105.777002,114,86.324034
-62.096295,72,86.437466
-31.625242,95,86.563032
-152.88659,128,86.740119
-78.524702,90,86.850768
-111.080897,128,87.019842
-82.451064,114,87.198385
-84.347622,78,87.281914
-57.835926,134,87.45879
-249.246989,115,87.629077
-72.26918,95,87.753872
-87.981356,74,87.850475
-71.284392,63,87.927208
-136.663476,89,88.040943
-55.006159,69,88.135649
-50.515892,96,88.277665
-300.299231,150,88.465235
-269.67255,166,88.677644
-105.527109,102,88.826168
-110.998219,78,88.933408
-148.173026,119,89.106299
-61.063776,83,89.23471
-74.555542,119,89.403276
-52.583551,69,89.508274
-71.726625,121,89.669986
-84.697627,72,89.759602
-57.530026,137,89.969978
-114.195663,103,90.100686
-47.126177,122,90.284323
-173.253293,104,90.413705
-99.243902,66,90.502136
-77.097661,72,90.592514
-92.842161,116,90.764118
-82.878586,69,90.863308
-109.743346,112,91.015473
-45.269169,80,91.138053
-113.545517,101,91.256027
-82.587397,126,91.449133
7.263666,65,91.542738
-111.553168,72,91.63104
-80.423627,114,91.792619
-105.634772,88,91.920258
-105.496809,85,92.049134
-29.390363,81,92.134538
-94.602051,157,92.364207
-55.39999,80,92.481303
-95.274918,85,92.609539
-49.379898,78,92.736689
-24.620104,141,92.919251
-328.691313,86,93.046451
-57.193049,132,93.233043
-58.225068,71,104.699694
-69.575765,110,104.849991
-306.099688,135,105.050152
-34.500244,119,105.232332
-218.330725,126,105.418354
-110.561967,125,105.588571
-111.6694,83,105.703973
-79.654922,74,105.822433
-59.923054,80,105.937817
-108.400605,82,106.057997
-21.766568,77,106.163553
-87.430808,69,106.257016
-36.267804,126,106.426921
-17.055904,137,106.619462
-233.261587,142,106.838997
-91.964333,97,106.9587
-123.899311,109,107.084965
-84.900033,144,107.322471
-49.49423,80,107.430089
-62.06707,72,107.526973
-76.136364,94,107.672474
-26.163377,139,107.877537
-51.351801,74,107.972495
-43.125791,143,108.174291
-105.282694,915,109.47669
-74.013997,149,109.684294
-75.53278,88,109.821708
-91.519535,97,109.959165
-55.634935,133,110.135259
46.350721,122,110.282688
-103.733466,96,110.400991
-101.496924,87,110.534585
-88.622194,80,110.647952
-68.408322,76,110.761161
-100.337092,73,110.853059
-85.718574,99,110.996482
-70.912323,71,111.095878
-70.980789,71,111.182768
-77.271592,95,111.314608
-19.193896,131,111.496063
-74.545679,151,111.709788
-48.935934,102,111.846058
-161.14795,85,111.958577
-48.885412,126,112.139126
-68.882896,90,112.260062
-98.127825,91,112.391724
-51.405929,61,112.485633
-243.234675,101,112.618341
-82.585199,99,112.731613
-172.116299,102,112.883961
-128.691643,113,113.047973
-110.101548,125,113.230558
-48.728977,105,113.382334
24.243987,92,113.527965
-48.439512,107,113.672861
-201.955279,108,113.814295
-63.683707,58,113.91575
-106.604039,74,114.010157
-168.796984,155,114.19755
-87.918919,95,114.340583
-34.467583,131,114.506294
-97.706831,133,114.67512
-102.5382,92,114.797585
-91.301822,101,114.937264
-77.156518,150,115.122619
-137.639449,64,115.209017
-100.113351,72,115.28583
-93.166216,123,115.461627
-223.153783,153,115.697196
-168.290975,143,115.923962
11.788059,132,116.080691
17.65475,74,116.191472
-108.799657,118,116.371019
-105.305348,74,116.467335
