#{"t_start": 1767375574.474522, "env_id": "CartPole-v1"}
r,l,t
33.0,33,1.304274
13.0,13,1.322067
18.0,18,1.345822
19.0,19,1.377715
13.0,13,1.395636
17.0,17,1.415738
17.0,17,1.440991
17.0,17,1.466014
20.0,20,1.500145
42.0,42,1.565169
21.0,21,1.601312
27.0,27,1.640942
19.0,19,1.672239
10.0,10,1.692172
14.0,14,1.715048
26.0,26,1.757259
18.0,18,1.786027
30.0,30,1.841531
16.0,16,1.867761
10.0,10,1.881341
14.0,14,1.90237
17.0,17,1.937929
40.0,40,2.005358
31.0,31,2.06494
17.0,17,3.748091
85.0,85,3.8963
96.0,96,4.065206
13.0,13,4.08602
17.0,17,4.116241
31.0,31,4.176093
29.0,29,4.225295
26.0,26,4.274361
20.0,20,4.308218
16.0,16,4.338014
30.0,30,4.39317
33.0,33,4.44797
50.0,50,4.5323
21.0,21,4.565745
37.0,37,4.636638
45.0,45,6.41841
27.0,27,6.468858
108.0,108,6.65464
42.0,42,6.730428
73.0,73,6.858331
15.0,15,6.879737
28.0,28,6.933134
33.0,33,6.990042
20.0,20,7.031158
41.0,41,7.099205
30.0,30,7.153587
109.0,109,9.058257
55.0,55,9.156318
107.0,107,9.337363
19.0,19,9.372608
51.0,51,9.457412
96.0,96,9.617274
33.0,33,9.672989
168.0,168,11.664828
103.0,103,11.841781
208.0,208,12.192962
124.0,124,12.396116
106.0,106,14.226146
303.0,303,14.729483
282.0,282,16.943902
227.0,227,17.331564
247.0,247,19.466965
153.0,153,19.728159
228.0,228,21.904925
500.0,500,22.762591
500.0,500,25.301524
500.0,500,27.857584
500.0,500,30.412103
233.0,233,32.636792
500.0,500,35.224325
500.0,500,37.814372
500.0,500,40.427632
500.0,500,43.011472
500.0,500,45.606722
500.0,500,48.094676
500.0,500,50.701262
500.0,500,57.659893
500.0,500,60.195022
500.0,500,62.73465
500.0,500,65.339515
500.0,500,67.913407
500.0,500,70.448883
348.0,348,71.051139
500.0,500,73.616657
500.0,500,76.112705
500.0,500,78.675663
500.0,500,81.227276
500.0,500,83.760213
500.0,500,86.375525
500.0,500,88.994496
500.0,500,91.661634
500.0,500,94.215535
500.0,500,96.739737
500.0,500,99.409574
500.0,500,102.001612
500.0,500,104.527772
500.0,500,111.497044
500.0,500,114.115611
500.0,500,116.723323
500.0,500,119.305329
500.0,500,121.814342
500.0,500,124.308573
500.0,500,126.82392
500.0,500,129.364686
500.0,500,131.963661
500.0,500,134.514063
500.0,500,137.100219
500.0,500,139.710117
500.0,500,142.375715
500.0,500,144.921715
500.0,500,147.539358
500.0,500,150.249372
500.0,500,152.811799
500.0,500,155.426257
500.0,500,157.941579
500.0,500,158.812444
500.0,500,165.72743
500.0,500,168.214528
500.0,500,170.769944
500.0,500,173.413441
500.0,500,176.001336
500.0,500,178.567932
500.0,500,181.159924
500.0,500,183.745333
500.0,500,186.341446
500.0,500,188.872808
500.0,500,191.388999
500.0,500,193.942745
500.0,500,196.51148
500.0,500,199.016183
500.0,500,201.662291
500.0,500,204.241433
