#{"t_start": 1767374687.0358438, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.559507
9.0,9,1.573709
23.0,23,1.608003
11.0,11,1.623995
11.0,11,1.640604
29.0,29,1.688712
19.0,19,1.711353
24.0,24,1.746482
22.0,22,1.785461
14.0,14,1.808225
25.0,25,1.846327
14.0,14,1.86814
20.0,20,1.901438
23.0,23,1.940276
15.0,15,1.966269
36.0,36,2.032345
58.0,58,2.127871
20.0,20,2.161866
10.0,10,2.177558
25.0,25,2.223726
16.0,16,2.252547
39.0,39,2.311922
12.0,12,2.329101
12.0,12,2.353091
16.0,16,4.140808
35.0,35,4.20205
20.0,20,4.239959
30.0,30,4.29112
29.0,29,4.347911
41.0,41,4.421784
17.0,17,4.451762
16.0,16,4.480191
50.0,50,4.567943
19.0,19,4.597648
24.0,24,4.644167
16.0,16,4.672318
18.0,18,4.705218
21.0,21,4.740012
13.0,13,4.768263
28.0,28,4.817211
39.0,39,4.883291
80.0,80,5.028079
148.0,148,7.07032
24.0,24,7.11388
76.0,76,7.246193
51.0,51,7.336264
30.0,30,7.385607
56.0,56,7.484433
72.0,72,7.609081
61.0,61,9.586252
49.0,49,9.675344
77.0,77,9.801599
12.0,12,9.820017
78.0,78,9.957068
84.0,84,10.107279
15.0,15,10.133943
65.0,65,10.244712
64.0,64,10.357807
31.0,31,10.414689
57.0,57,12.184819
75.0,75,12.31463
162.0,162,12.595008
96.0,96,12.758536
43.0,43,12.831441
91.0,91,12.988053
126.0,126,14.949762
167.0,167,15.236308
150.0,150,15.499687
240.0,240,17.741288
145.0,145,17.978292
256.0,256,20.181797
167.0,167,20.473855
246.0,246,20.914551
500.0,500,23.509448
230.0,230,25.598963
404.0,404,28.030095
149.0,149,28.284662
500.0,500,30.848496
365.0,365,33.153144
500.0,500,35.713419
500.0,500,38.239501
500.0,500,40.779759
500.0,500,41.649701
500.0,500,44.210747
500.0,500,46.818019
500.0,500,49.36384
500.0,500,56.323728
500.0,500,58.910583
500.0,500,61.438217
500.0,500,63.954133
500.0,500,66.577209
500.0,500,69.283076
500.0,500,71.843424
500.0,500,74.499084
500.0,500,77.217674
500.0,500,79.947586
500.0,500,82.503914
500.0,500,84.973038
500.0,500,87.498955
500.0,500,90.073944
500.0,500,92.679762
500.0,500,95.236517
500.0,500,97.845897
500.0,500,100.497821
500.0,500,103.149988
500.0,500,105.625032
500.0,500,112.624033
500.0,500,115.1586
500.0,500,117.71973
500.0,500,120.358865
500.0,500,122.88772
500.0,500,125.445357
500.0,500,127.965235
500.0,500,131.250185
500.0,500,133.93302
500.0,500,136.526582
500.0,500,139.281986
500.0,500,141.895276
500.0,500,144.472488
500.0,500,147.014317
500.0,500,149.630424
500.0,500,152.210099
500.0,500,154.771353
500.0,500,157.380391
500.0,500,159.94991
500.0,500,160.814455
500.0,500,167.883732
500.0,500,170.372505
500.0,500,172.888041
500.0,500,175.525461
500.0,500,178.056316
500.0,500,180.582443
500.0,500,183.195419
500.0,500,185.765361
500.0,500,188.328829
500.0,500,191.032869
500.0,500,193.521492
500.0,500,196.147187
500.0,500,198.746204
500.0,500,201.288299
500.0,500,203.99479
500.0,500,206.597883
