#{"t_start": 1767401627.1810956, "env_id": "LunarLander-v3"}
r,l,t
-125.896538,102,1.800516
-124.276963,99,1.976724
-125.091255,65,2.103924
-110.943781,58,2.211549
-124.853829,81,2.372854
-352.717995,103,2.587758
-85.563989,67,2.726767
-195.544726,107,2.938421
-89.347348,75,3.095119
-210.648229,87,3.274974
-87.650847,120,3.518686
-53.273681,90,6.021186
-80.432609,77,6.185836
-201.301346,89,6.359769
-170.742671,107,6.575926
-94.283172,96,6.772379
-100.776712,102,6.98255
-70.002215,64,7.116992
-60.167934,79,7.282938
-204.637371,94,7.461406
26.002199,64,7.591144
-114.182446,80,7.750651
-53.328712,97,7.945265
-210.628669,127,10.666543
-262.57027,106,10.877397
-202.73003,94,11.050058
-389.307806,149,11.368177
-292.227664,89,11.554997
-111.929183,98,11.76554
-117.277938,92,11.96057
-82.011241,69,12.097674
-95.335346,100,12.296325
-172.487053,78,12.448894
-99.089445,81,15.081731
-97.500905,110,15.31077
-169.548463,160,15.630702
-101.669139,126,15.882694
-199.043845,114,16.118774
-28.784666,95,16.31002
-143.631525,114,16.533127
-104.854414,135,16.796479
14.81569,107,17.016216
-226.177285,181,19.740685
-159.202918,140,20.020184
-101.617605,97,20.2139
-279.117737,122,20.437418
-108.484658,113,20.671293
-26.329677,137,20.957736
-58.292635,76,21.113328
-54.429707,129,21.360951
-120.20394,82,23.900836
-92.342692,202,24.314229
-112.863848,177,24.674102
-92.114646,108,24.896319
-205.029173,145,25.189002
-15.528663,184,25.538712
-133.414213,91,25.723394
-30.887731,130,28.293452
-78.206105,85,28.454222
-54.801693,102,28.650889
-71.994448,166,28.991325
-82.721065,94,29.1768
-35.603415,166,29.494336
-91.886249,145,29.77919
-97.02525,148,30.061298
-43.489042,72,30.206944
-103.093989,84,32.737124
-120.018726,130,33.002962
-115.054615,151,33.314269
-159.869403,145,33.618616
-52.981646,211,34.039363
-166.088106,163,34.343551
-210.484267,127,34.607528
-111.286351,126,37.153785
-50.309177,200,37.561397
-43.498238,108,37.780668
-171.299197,211,38.185666
-97.662834,153,38.503274
61.307677,172,38.833003
-0.502426,189,41.55621
-12.044928,137,41.827508
-2.831408,201,42.210651
-62.642134,134,42.489612
-139.47665,146,42.773362
-39.597346,152,51.081958
-343.562832,129,51.342634
-199.682221,178,54.083804
-17.588239,1000,58.494295
-186.823242,152,58.787116
-11.839761,155,59.096722
-136.995198,199,59.494517
125.613524,1000,63.838431
-69.766861,162,64.173311
27.07552,139,64.463278
-8.402137,199,67.253219
-64.896143,147,67.54799
-69.458371,230,68.030866
-55.431346,148,68.33215
-11.557103,186,68.68772
-187.390547,159,69.006497
-250.002967,220,71.814823
26.71252,143,72.098738
-234.590574,248,72.595761
-27.883761,106,72.806962
75.170035,1000,77.337045
107.07492,1000,81.600793
-152.083877,236,82.077051
-60.602626,211,84.85613
46.926573,1000,86.844382
-83.872887,165,89.539246
-35.52647,381,90.307726
19.898457,321,90.959486
-49.273979,233,93.815116
133.113498,1000,107.220923
-196.546131,297,107.782029
-55.279739,207,108.199547
97.404986,1000,112.594202
-68.899436,302,113.225695
92.390466,1000,117.529423
74.200764,1000,121.896177
-82.056788,445,125.250318
-81.924467,418,126.085193
-68.988874,478,129.497995
-214.86233,1000,133.820665
-70.6732,249,134.388871
-128.425524,776,138.517531
-56.096431,1000,142.885074
-83.282171,1000,147.303003
-35.913015,1000,165.53191
-49.08462,1000,169.883532
-68.226182,1000,174.254958
-11.401792,1000,178.626143
-19.233179,1000,183.021204
98.343839,884,187.248957
-46.209502,1000,191.563886
-31.348134,1000,195.968913
-100.464532,884,200.036048
49.141047,1000,204.288316
15.534664,1000,224.701467
45.699643,1000,229.040634
13.627722,1000,233.411881
-63.76844,487,234.384693
130.608378,709,238.22673
77.736301,1000,242.646651
-66.110961,592,246.201446
67.291868,1000,250.600159
92.547095,1000,254.90741
45.97732,1000,259.348185
66.49831,1000,263.727069
68.656165,1000,283.402611
-57.593652,580,284.532024
107.218098,1000,288.910713
54.460726,1000,293.278569
62.67356,1000,297.611139
218.950131,887,301.686496
-35.250159,451,302.618856
65.765838,1000,306.953236
115.56433,1000,311.269711
93.096073,1000,315.611765
172.630335,684,319.427893
212.143759,600,322.93631
194.90448,528,324.005316
83.428842,1000,340.068589
-70.483623,405,340.861434
194.627255,575,344.346545
224.898898,484,345.270103
229.479783,491,348.675224
232.006615,445,349.51565
137.196883,1000,353.735729
-59.464597,323,356.74327
190.290513,577,357.865278
73.297818,1000,362.219399
-62.765146,385,365.402924
-45.286723,359,366.090287
207.446893,536,367.14714
194.449096,443,370.409008
226.447683,444,371.250543
199.236149,574,374.752439
202.505167,463,375.724752
-51.721341,314,378.804552
223.280058,414,388.638299
78.473571,1000,392.967499
209.490988,402,393.797174
187.493758,487,397.090676
-2.246068,232,397.515275
-29.433094,378,400.65478
