#{"t_start": 1767406345.3735468, "env_id": "LunarLander-v3"}
r,l,t
-347.766235,95,1.615886
-294.512768,100,1.794295
-116.662197,114,2.02808
-355.292935,126,2.26486
-355.866299,91,2.451302
-195.689015,141,2.74361
-278.971062,119,2.988043
-493.987904,85,3.164246
-83.140826,102,3.370376
-120.051229,70,5.951019
-171.320831,116,6.191808
-196.657047,95,6.386977
-254.480385,117,6.626819
-84.462901,77,6.790062
-92.79124,73,6.936411
-102.704006,80,7.104805
-154.022875,70,7.241535
-250.132535,108,7.469549
-132.248921,78,7.630024
-127.36597,71,7.77843
-81.511332,124,10.459529
-310.867203,132,10.727295
-77.452713,59,10.845423
-110.178017,99,11.043991
-220.90029,98,11.248604
-136.764079,88,11.426655
-213.90364,106,11.633511
-265.915312,97,11.833636
-261.655666,104,12.042888
-358.486275,102,12.24128
-93.259239,86,12.403129
-69.736112,74,14.841252
-256.20268,121,15.095987
-104.388327,67,15.231674
-124.494018,124,15.471382
-136.165061,117,15.713149
-57.727265,67,15.845797
-182.072149,68,15.982552
-197.216297,114,16.222196
-116.730699,85,16.385876
-92.988794,76,16.544892
-281.817223,126,16.791511
-287.301064,107,19.409988
-75.166366,103,19.617587
-242.115363,110,19.844249
-107.077448,98,20.039534
-211.693249,85,20.218378
-114.040037,71,20.356382
-226.691946,77,20.504427
-94.87987,92,20.680794
-23.915659,118,20.917561
-114.340048,102,21.125962
-299.062641,147,23.692729
-112.565966,89,23.878354
-219.99057,119,24.122088
-78.47978,89,24.293961
-118.257726,82,24.438875
-123.319895,72,24.588731
-186.491047,92,24.779856
92.811742,1000,29.254404
-59.119387,171,29.60537
-64.193004,121,29.852925
-70.096276,140,30.142399
-229.869128,219,32.973815
-103.304346,114,33.205712
-201.35235,159,33.536574
-179.842045,119,33.765429
-178.163571,83,33.935685
-46.113275,157,34.236897
-144.162011,139,34.511856
-250.503547,133,37.203824
39.548961,102,37.407243
-225.165563,137,37.688119
-90.157417,160,38.024105
-121.832156,223,38.490892
36.910585,122,38.732393
-117.908898,110,38.988918
-132.46031,206,41.737509
-42.336237,113,41.973414
-93.41056,160,42.29261
-96.75047,165,42.621128
-10.412766,111,42.839146
-31.685544,168,48.974561
-119.574593,89,49.160422
-96.066665,172,51.834754
-113.229323,109,52.05944
-188.5448,154,52.367541
-43.041166,146,52.656751
-139.809892,217,53.082986
-82.556415,146,53.370005
-300.479471,162,53.680804
-116.392204,141,56.342497
-233.532034,171,56.684086
-34.201829,152,57.00087
-40.344657,149,57.293567
-185.201882,187,57.656867
-66.778071,100,57.86372
-9.050303,193,60.586406
129.896391,1000,64.987941
-81.337377,146,65.269539
30.033205,177,65.626508
-80.272317,152,65.928745
-42.594604,150,66.203441
-114.858439,174,66.551911
-134.825508,169,66.895342
17.394947,121,69.426245
-334.601785,200,69.835121
-38.889187,235,70.304817
-10.151651,137,70.579765
-75.273648,199,70.97441
31.039151,158,71.301116
26.670071,177,74.096035
-17.029824,194,74.503254
-193.81896,213,74.917003
56.278816,1000,79.262898
4.47621,154,79.573189
-12.287171,233,80.028111
41.209158,150,82.604182
3.200816,117,82.850404
-209.359187,298,83.440166
24.657649,174,83.792727
185.040126,324,84.463069
-60.640219,297,87.389195
-32.676182,224,87.832961
-16.697334,348,88.529562
-5.305469,254,91.349517
-11.630474,190,91.728294
-68.406768,187,92.115675
115.701041,1000,106.06695
131.754202,1000,110.466617
-34.63123,325,111.133253
-22.234097,298,111.727638
-93.134908,299,114.611223
-127.922184,303,115.210827
64.098744,1000,119.619102
-180.820639,692,123.275137
-113.39266,499,124.269628
-46.69856,408,127.511411
-30.096826,285,128.079897
89.791562,1000,132.40872
133.61001,1000,136.806347
154.524776,468,137.771952
-52.42114,348,140.824159
92.903878,1000,145.177137
157.125819,582,161.967003
77.286988,1000,166.366887
187.268204,879,170.538561
116.772604,1000,174.937514
-114.359008,540,178.27973
99.608462,1000,180.253479
112.878737,1000,184.592427
-53.778536,398,187.684825
75.942449,1000,192.033964
-57.001786,461,192.945632
-161.174078,408,195.957038
-37.412368,418,196.826919
-84.190848,499,200.128029
97.519331,908,201.923228
176.338987,432,221.897478
161.324355,503,222.886143
-41.396931,518,226.274453
-55.475577,377,227.043993
-28.189148,450,230.202299
104.186339,1000,234.604287
22.243806,1000,238.902874
-92.589807,544,239.998229
153.889664,487,243.303045
-12.887065,411,244.1167
10.624033,339,244.768829
202.849776,412,247.986464
118.585111,1000,252.382761
-60.676732,437,253.233925
181.3605,450,256.469237
102.706562,1000,260.829347
187.092364,561,261.923594
93.520309,1000,281.619724
224.782023,542,284.972853
128.223919,1000,289.442581
112.643003,1000,293.885542
107.806552,1000,298.22174
205.423041,469,299.151287
214.560657,412,299.97642
-65.401611,457,303.335038
176.258405,444,304.221417
99.777035,1000,308.624031
124.150815,1000,312.939561
-36.824358,232,315.883702
17.447799,339,316.516681
