#{"t_start": 1767391298.4608877, "env_id": "LunarLander-v3"}
r,l,t
-196.483322,114,1.205977
-104.503563,100,1.21946
-34.967839,74,1.229282
-84.38544,60,1.23769
-182.033919,70,1.248618
-93.372165,111,1.263063
-361.968265,82,1.27374
-105.185509,105,1.287223
-199.896528,131,1.306241
-111.57399,72,1.318796
-95.266054,62,1.327665
-104.790587,67,1.336814
-129.600986,99,1.364516
-205.52561,96,1.378774
-383.556717,102,1.391953
-389.069758,75,1.401944
-234.122098,97,1.416414
-109.95474,83,1.427219
-145.994487,87,1.441345
-98.910503,76,1.451315
-76.593689,109,1.466828
-106.697679,83,1.477744
-177.965958,118,1.492834
-358.816228,132,1.509833
-255.766806,119,1.526356
-104.412315,145,1.545943
11.066904,63,1.555133
-143.102038,118,1.573888
-440.978448,156,1.596655
-99.799338,84,1.607811
-307.016101,124,1.62431
-104.862946,87,1.636052
-41.837328,86,1.649324
-225.913314,81,1.661022
-313.304803,80,1.67543
-237.772418,90,1.688437
-298.917503,81,1.70139
-431.508429,99,1.714869
-137.071323,86,1.726584
-324.60036,116,1.74236
-189.161489,118,1.760681
-159.263064,78,1.77174
-102.524451,122,1.791407
-337.170104,102,1.805168
-133.126418,75,1.816919
-225.542832,118,1.833141
-87.199284,101,1.846485
-357.126494,132,1.864377
-127.645685,64,1.87457
-293.655966,104,1.889631
-424.907904,68,1.900054
-175.229866,123,1.925253
-160.033094,112,1.947371
-445.870392,92,1.96847
-376.668913,108,1.99277
-57.479319,63,2.00206
-295.080912,119,2.027673
-107.50993,70,2.041636
-120.263964,68,2.052399
-69.906414,64,2.062397
-311.587331,124,2.08686
-171.857669,64,2.097283
-434.130901,101,2.11956
-175.362826,142,2.142432
-93.543695,68,2.155546
-88.488935,118,2.177233
-438.337415,110,2.1961
-162.45109,63,2.206188
-235.261499,109,2.224816
-77.965251,112,2.242236
-320.832872,99,2.257599
-102.608304,59,2.266955
-129.700184,71,2.282523
-95.705656,92,2.29663
-290.853283,109,2.313408
-353.505412,127,2.332473
-124.320439,64,2.343715
-69.577963,73,2.354426
-132.311353,54,2.362664
-80.634052,61,2.37202
-194.433764,94,2.390081
-287.570963,105,2.405406
-115.266658,84,2.417577
-118.727845,65,2.427032
-143.186391,69,2.438524
-428.466781,103,2.453334
-313.116263,99,2.46775
-249.637193,83,2.4798
-95.005994,60,2.492326
-221.629208,126,2.510524
-178.911589,113,2.528757
-198.892148,91,2.542319
-74.744287,116,2.560505
-393.753704,92,2.573691
-311.919935,90,2.586452
-60.009971,72,2.597085
