#{"t_start": 1767377349.756616, "env_id": "CartPole-v1"}
r,l,t
18.970714,19,1.434851
11.981772,12,1.452451
19.984996,20,1.48122
19.971858,20,1.514078
15.98042,16,1.536491
24.965782,25,1.571139
9.987294,10,1.585139
16.979238,17,1.61288
21.979442,22,1.645191
15.984369,16,1.670505
20.978173,21,1.701869
26.982041,27,1.746162
11.986766,12,1.764202
9.985924,10,1.777956
16.980369,17,1.806073
12.984479,13,1.830877
16.980169,17,1.859413
9.987601,10,1.87729
9.99032,10,1.891173
33.963984,34,1.95053
40.955782,41,2.020337
17.970759,18,2.054058
15.980612,16,2.082396
9.988264,10,2.099699
17.98581,18,2.130548
44.961008,45,2.206035
85.818716,86,4.015811
24.973884,25,4.063167
42.97298,43,4.136089
13.983837,14,4.165626
19.967652,20,4.203804
79.83619,80,4.345154
16.981276,17,4.379022
42.952028,43,4.449703
34.958879,35,4.515549
15.983353,16,4.540246
15.979311,16,4.569403
18.981895,19,4.607147
23.977319,24,4.652166
9.989994,10,4.670362
14.984996,15,4.698108
37.950879,38,4.769827
61.941603,62,6.623414
38.950069,39,6.687892
101.783661,102,6.876704
39.979158,40,6.950323
49.951496,50,7.034272
86.778898,87,7.181849
14.980159,15,7.202823
38.968545,39,7.278871
44.965359,45,7.353304
24.977659,25,7.401061
91.821804,92,9.296576
64.879172,65,9.410122
50.937837,51,9.494412
64.954583,65,9.607593
70.894394,71,9.723113
52.925535,53,9.821818
46.957518,47,9.905412
67.905119,68,10.035045
41.949158,42,11.820178
70.923685,71,11.940695
57.936048,58,12.041493
11.985566,12,12.062191
220.614424,221,12.455665
240.682988,241,14.566219
127.451898,128,14.795943
73.762893,74,14.924496
236.306342,237,16.997437
174.702036,175,17.310398
29.966318,30,17.368025
175.396115,176,17.684611
223.116164,224,19.731692
296.694623,298,20.252156
318.259342,320,22.496768
413.324716,415,25.011786
498.281105,500,27.574466
499.411346,500,30.070338
498.994996,500,32.584095
498.608374,500,35.115767
498.956278,500,37.757059
499.245319,500,40.338626
499.530849,500,42.904543
498.833565,500,45.55118
499.50768,500,48.187781
499.472896,500,50.702698
499.574273,500,56.125384
499.537915,500,58.715456
499.459849,500,61.654511
499.385496,500,64.864917
499.591742,500,67.186403
499.758778,500,69.764392
499.773247,500,72.01622
499.818755,500,74.27503
499.620865,500,76.562031
499.793062,500,78.815023
499.719307,500,81.016872
499.751594,500,83.243297
499.731065,500,85.470351
499.703972,500,87.776016
499.817096,500,89.951929
499.855475,500,92.206119
499.822282,500,94.458919
499.853409,500,96.766921
499.799261,500,99.004007
499.844563,500,101.209886
499.895288,500,108.019833
499.89088,500,110.289373
499.90205,500,112.676328
499.925588,500,115.144563
499.91709,500,117.346393
499.912049,500,119.604515
499.916517,500,121.85973
499.929641,500,124.150012
499.932533,500,126.420599
499.910031,500,128.686961
499.921425,500,130.899373
499.918005,500,133.161757
499.949748,500,135.404225
499.898756,500,137.684239
499.937244,500,139.940761
499.894753,500,142.198947
499.894876,500,144.533947
499.936768,500,146.79024
499.946138,500,149.090647
499.948228,500,151.356975
499.941599,500,157.98667
499.951618,500,160.200058
499.954064,500,162.44135
499.939052,500,163.210077
499.929464,500,165.518898
499.962538,500,167.901682
499.927209,500,170.12121
499.951387,500,172.361005
499.906888,500,174.605879
499.895238,500,176.962346
499.958513,500,179.280947
499.937865,500,181.496507
499.930606,500,183.734034
499.92958,500,186.042685
499.960983,500,188.266577
499.942623,500,190.510445
