#{"t_start": 1767402430.0087442, "env_id": "LunarLander-v3"}
r,l,t
-146.714578,96,1.527035
-63.777231,66,1.638925
-381.424363,95,1.827646
-375.423633,94,2.001225
-107.329902,78,2.160567
-279.859073,75,2.311189
-70.381165,105,2.525572
-47.603131,83,2.682981
-204.586941,98,2.880094
-77.127177,98,3.09224
-302.476529,108,3.314292
-98.513601,62,5.852678
-109.30555,91,6.043118
-86.896614,64,6.169392
-110.689767,85,6.338051
-108.814359,66,6.467535
-131.096701,114,6.67643
-141.121686,104,6.886471
-210.518293,104,7.104133
-361.856093,91,7.292415
-518.560658,118,7.533757
15.716394,69,7.658414
-221.128922,100,10.211601
-265.151438,127,10.467491
-234.369338,181,10.825477
-126.55402,99,11.030347
-224.920614,132,11.298266
-124.002365,72,11.445693
-90.122398,85,11.623106
-291.270113,110,11.852264
-291.037649,123,12.092517
-133.120258,126,14.669388
-244.109501,123,14.919732
-89.623575,117,15.153076
-84.624456,70,15.298098
-131.067073,125,15.553172
-155.321654,119,15.79935
-165.961067,139,16.078601
-25.427638,82,16.250966
-64.409651,97,16.439747
-365.489996,116,19.043464
-95.808837,66,19.179302
-118.423844,120,19.415262
-73.758815,72,19.569941
-182.40423,170,19.911117
-73.393035,72,20.057616
-253.280656,101,20.260686
-232.873647,94,20.46591
-83.404803,90,20.641284
0.685314,95,20.836264
-366.801289,116,21.072946
-113.493,96,23.582335
-15.818376,96,23.769501
-46.151401,131,24.032013
-234.972921,104,24.245997
-65.574788,134,24.504143
-192.145284,94,24.690385
-134.023426,182,25.055468
-78.05553,132,25.314007
-60.867883,74,27.717787
-66.937243,125,27.96791
-37.052483,91,28.147805
-200.511296,150,28.453825
-87.605233,123,28.706274
-167.996248,112,28.92502
-84.013963,154,29.236114
-46.053059,82,29.394375
-71.128055,87,29.577332
-225.431125,124,32.158089
13.777454,146,32.451992
-131.712879,134,32.707886
-87.468261,118,32.947864
-346.858588,194,33.323398
-55.700534,140,33.603724
-61.664425,190,33.995331
-52.922379,87,36.426173
-311.982127,163,36.759604
-245.852447,150,37.049701
-151.095618,158,37.372501
-182.144429,161,37.667515
-50.811673,117,37.911819
-56.114232,168,38.222885
-225.623136,145,40.809098
-284.864143,185,41.193507
-28.947952,178,41.558059
-20.649174,128,41.800031
-105.824368,131,42.070383
-194.379167,189,47.357316
-179.38612,117,47.594211
-207.297927,168,50.16784
-121.420267,191,50.545292
-150.644578,199,50.966164
-12.211177,186,51.331182
-29.154033,200,51.736739
-31.884778,227,54.640549
-266.012155,326,55.318741
-17.335891,123,55.576905
-127.718908,174,55.928547
-53.360244,114,56.16421
-47.718363,190,58.919293
12.044877,187,59.297479
167.642675,1000,63.725406
-87.804929,171,64.071108
-37.640042,133,64.348169
-286.225206,188,64.727128
-112.542765,204,65.122169
-132.081869,216,67.923092
-148.739732,196,68.319721
-138.006104,211,68.752492
-57.883239,205,69.166069
12.506701,197,69.571435
-69.639175,149,69.877177
-37.046141,145,72.574775
-109.236558,192,72.973661
-11.402173,240,73.450267
-190.739768,187,73.809994
-61.257444,255,74.332109
-32.457726,173,77.049544
-218.006308,258,77.578323
107.423355,1000,81.912273
-99.887618,178,82.278022
-107.779772,216,82.671832
-38.657065,181,83.032026
16.931158,135,85.671911
43.500334,1000,90.021258
-57.308622,283,90.584057
-3.703208,229,100.257319
86.18577,1000,104.595382
86.312082,1000,108.777342
124.420393,774,112.769014
-15.335134,300,113.349913
-35.411274,354,114.034557
-149.99299,421,117.296219
-19.76793,284,117.859637
2.485958,149,118.152125
78.312706,1000,122.528396
129.13061,1000,126.8497
117.633566,1000,131.250556
29.694419,252,131.7595
112.460057,1000,136.131453
-38.722059,366,139.172487
76.939503,1000,143.484893
-70.421738,330,159.702667
149.755368,1000,164.053286
86.500266,1000,168.337769
70.542866,1000,172.78092
67.694337,1000,177.191749
77.40223,1000,181.485924
-21.117831,205,181.912236
-75.817022,364,182.684032
132.980784,1000,187.015034
88.123157,1000,191.292535
92.120277,1000,195.686082
46.756591,1000,199.982489
-64.558549,1000,214.598332
117.248579,1000,218.925814
111.956019,1000,223.296192
-8.265547,249,226.082387
110.10226,1000,230.360326
97.806576,1000,234.976853
85.388098,1000,237.000039
198.970532,358,240.141476
184.028535,473,241.088555
190.187994,390,244.240289
-43.59081,307,244.870115
126.449981,1000,249.218096
-35.105169,267,249.766712
94.742945,1000,254.055362
102.802052,1000,266.741215
132.152574,1000,270.983589
105.518638,1000,275.285446
124.167749,1000,279.510479
117.585188,1000,283.875116
226.683159,565,287.403654
224.344267,615,288.607472
-29.616707,241,289.100475
214.233439,325,292.161299
-62.083717,247,292.68841
120.139659,1000,297.160573
230.240704,347,297.875692
187.801727,878,302.073752
0.496811,185,302.450195
-69.386592,276,305.37852
-60.920745,185,305.741238
-18.265643,242,306.227563
-56.806469,279,313.26967
236.990328,282,316.126319
228.28815,280,316.678805
259.99766,312,317.296308
16.925419,249,317.794276
174.223986,490,321.120403
241.769695,324,321.764765
208.087324,304,324.674323
158.244441,615,325.908415
166.205562,424,329.070359
180.325587,393,329.854698
257.811175,301,330.440863
218.352329,541,333.926234
90.022576,1000,338.197858
8.076389,243,338.686599
245.605536,432,339.544745
10.078565,198,342.281991
250.519631,252,342.798635
218.907022,276,343.358684
-14.999747,188,343.739386
155.386079,376,346.81181
237.253177,363,347.522048
255.980545,271,348.040711
183.094603,341,351.076922
-47.966148,237,351.573175
-100.783963,367,352.348816
234.885763,297,352.954283
-125.090301,256,355.963565
220.192324,277,362.959472
-48.206394,190,363.349091
175.169437,382,366.5288
-38.280905,215,366.96972
-128.09893,224,367.412048
255.587765,283,367.984587
90.885854,1000,372.248211
232.473087,289,375.197845
46.892271,1000,377.142548
215.53954,293,379.996981
227.460488,303,380.607406
90.320584,1000,384.951844
222.201298,347,385.641857
180.340647,598,389.113005
-83.607052,301,389.740046
93.809005,1000,394.142737
-196.355483,671,397.867405
161.714233,854,401.917763
107.857517,1000,414.104512
-30.323983,235,414.639874
-99.604854,233,415.098391
-69.396798,301,415.689145
89.452676,1000,420.009173
-88.462095,339,423.090664
255.271086,325,423.719502
194.966773,304,424.304552
-31.407177,237,427.13443
-36.992716,360,427.871406
-26.805852,222,428.308847
-60.198269,242,428.788504
151.082634,386,431.894172
188.594665,294,432.488209
-26.621568,285,433.079832
250.107266,326,436.08705
170.44827,801,437.651044
-28.828254,257,440.529751
215.998376,367,441.25769
178.387003,344,441.944389
31.587513,195,444.656177
197.877815,263,445.184331
192.872318,412,446.01601
98.053659,1000,450.345862
235.905764,625,453.934863
156.444452,1000,466.875093
260.219958,304,467.476571
8.377555,275,468.040144
-33.079836,261,470.933806
243.902522,401,471.721104
217.603165,315,472.377906
241.468609,304,475.356961
178.717487,373,476.115659
198.310385,319,476.746796
243.909768,362,479.886593
231.558295,279,480.435226
-57.777651,225,480.872806
-29.917203,252,481.345443
239.101611,343,484.391112
-15.840569,309,485.037822
163.627433,505,488.362699
87.466857,1000,492.622382
210.022911,290,493.15693
246.551046,291,493.724771
-194.036511,772,497.607603
240.514042,254,498.116279
-58.892396,241,498.583942
-44.469502,201,501.313663
241.394352,304,501.915348
231.028644,320,502.544426
251.391645,298,503.116111
44.89104,1000,513.669968
262.231307,302,516.652936
267.542527,251,517.156655
258.612331,268,517.680954
-41.764527,220,518.129816
240.817796,241,520.909431
201.704724,411,521.737664
249.910317,313,522.37536
-5.28995,152,522.669358
1.599311,157,525.206263
-43.038714,167,525.55901
230.074722,327,526.214279
16.342552,233,526.681332
241.212015,650,530.261107
220.51993,268,530.810203
118.473886,1000,535.57775
21.15212,256,536.094413
227.126457,281,538.922942
241.871658,337,539.583389
-5.593042,258,540.117662
-6.347722,160,540.444367
248.59789,249,543.234921
253.398191,313,543.868741
214.34201,278,544.441463
250.503274,264,547.297169
232.681615,320,547.935524
226.112551,249,548.440013
195.08862,342,549.1508
-8.712916,147,551.723771
282.085481,286,552.263188
137.223183,1000,556.515926
218.797384,331,563.954379
249.506278,225,564.433362
266.260272,281,567.334852
252.090662,246,567.832879
128.958335,1000,572.121349
252.856688,266,572.624138
233.476259,315,573.221754
23.146364,205,576.012008
202.76686,303,576.593877
268.977623,230,577.061429
248.330897,237,577.516038
204.367855,448,580.71134
245.642487,335,581.367373
248.566684,274,581.918067
239.099552,260,584.848799
27.679035,155,585.146113
262.173937,238,585.614233
265.407696,262,586.134567
292.694649,239,588.795837
-24.857641,237,589.255058
254.780456,232,589.712134
230.585127,642,593.467827
245.316334,305,594.08928
231.679954,470,595.103371
-10.576985,205,597.888161
240.592701,287,598.461967
225.420878,261,598.958677
14.292751,222,599.386794
214.679615,269,602.322526
234.45015,249,602.822486
-43.91525,164,603.162587
242.933578,292,603.81429
151.993026,1000,616.307358
-5.656531,214,618.960246
229.987477,263,619.481321
248.581914,274,620.011588
10.214471,259,620.548454
293.805879,236,623.29977
-44.631469,297,623.861915
95.768466,1000,628.394181
2.94709,184,628.794815
238.195848,273,629.312497
212.461996,434,632.383024
251.885289,506,633.393337
207.176972,296,633.96328
260.793088,997,638.249156
128.872179,1000,642.651174
246.066228,251,645.487739
245.828999,252,645.974239
221.624524,268,646.506009
265.458433,267,647.024398
218.128569,371,650.034434
238.482266,271,650.576129
80.211889,1000,655.071734
210.013867,347,655.758324
232.484005,321,664.909273
248.904444,294,665.472126
289.128061,242,665.94449
16.125371,243,666.411399
-11.865253,217,669.20321
231.85539,278,669.759282
220.584501,269,670.296289
242.584359,347,670.997583
257.538074,270,673.945474
239.834786,296,674.54595
111.508912,1000,678.908709
209.040416,348,679.602062
280.340572,243,682.43965
256.307627,246,682.948585
255.005295,258,683.427253
250.145242,270,683.96593
221.936021,258,686.808197
-9.049282,262,687.348703
7.74305,201,687.752824
17.631755,235,688.232099
134.691197,1000,692.645981
230.302192,354,695.710232
265.112431,250,696.181943
106.024859,1000,700.552978
149.863617,1000,704.820221
220.278249,289,705.398335
243.089072,239,711.240848
236.071076,258,714.10971
21.632337,159,714.472276
232.716779,260,715.002234
232.526711,242,715.483337
234.521589,290,718.366341
263.810539,243,718.856791
244.432516,306,719.464817
253.842762,223,719.888228
189.207413,439,723.103328
149.376915,1000,727.407426
19.287322,160,727.727996
247.873067,262,728.25369
246.023356,320,728.9147
101.493383,1000,733.215197
239.552309,246,735.966361
249.78238,259,736.438501
251.520525,249,736.950883
277.780284,433,740.192188
246.795111,229,740.642519
264.682567,211,741.051459
263.305839,300,741.649832
212.897266,482,744.864319
274.952309,251,745.365674
227.814409,238,745.824483
238.178949,263,746.342522
253.972136,250,749.203963
260.994556,263,749.714217
275.414906,341,750.381093
239.226691,248,753.161126
