#{"t_start": 1767408742.321376, "env_id": "LunarLander-v3"}
r,l,t
-197.094568,106,1.53736
-102.090313,78,1.684025
-89.81174,61,1.802422
-200.527198,121,2.033141
-104.503505,62,2.155551
-14.138114,110,2.381383
-131.427474,100,2.584829
-139.806405,98,2.766081
-150.982595,108,2.980529
-312.625161,126,3.2443
-106.162725,84,5.815674
-74.839346,66,5.948347
-88.828322,74,6.093687
-125.138473,81,6.267353
-164.731211,107,6.485034
-5.090012,113,6.707265
-130.985165,108,6.923046
-304.47585,95,7.097349
-55.559802,80,7.26135
-74.263346,81,7.429919
-185.391328,82,7.586038
-244.227705,115,10.109827
-75.089957,82,10.278403
-88.732636,68,10.419448
-100.848128,67,10.554247
-93.105725,81,10.714164
-491.688651,128,10.977427
-222.695295,88,11.164525
-164.341303,101,11.376023
-137.283823,87,11.554767
-210.279383,111,11.782138
-100.396831,87,11.957402
-73.069952,66,12.088296
-62.027974,121,14.743013
-342.505333,116,14.97929
-194.80788,105,15.193402
-319.100202,113,15.406205
-241.480226,110,15.623285
-207.823623,147,15.928171
-86.993853,88,16.111657
-111.819654,94,16.290504
-93.54626,76,16.432461
31.589232,93,16.618457
-77.565796,67,19.085006
-61.498595,75,19.23475
-402.268397,120,19.469833
-56.451686,94,19.664876
-222.782348,113,19.882799
-256.214727,131,20.140743
-93.320358,78,20.293356
-64.65622,77,20.454273
-129.078783,80,20.608273
-111.402161,75,20.763438
-90.655217,118,21.000132
-15.797535,76,23.49322
-259.671688,113,23.713194
-190.673666,160,24.038479
-278.445177,134,24.312369
-100.945464,116,24.544716
-232.338139,142,24.822746
85.269028,1000,29.204618
-232.875218,117,29.439204
-87.021347,92,29.637207
-175.126343,92,29.817958
-105.568183,157,32.440568
-206.694877,118,32.680214
-136.902408,98,32.865398
-87.039898,92,33.048498
-43.599779,77,33.20437
-83.697849,106,33.411789
-72.628409,102,33.611899
-242.197367,110,33.829213
-263.961203,113,34.045087
-59.270933,133,36.661849
94.999011,1000,41.131009
-28.911147,105,41.356837
-49.224884,97,41.564719
-145.163312,111,41.786603
-432.206937,143,42.116542
-200.956718,106,42.336991
-145.825247,133,42.611686
-26.536022,99,48.483721
-146.869304,100,48.689348
-54.381788,101,51.226563
-268.216476,186,51.596136
-14.809854,146,51.868957
-45.997193,99,52.063346
23.724689,118,52.306529
-160.771165,196,52.703316
-238.673149,227,53.139035
-59.037685,189,55.858168
-79.35565,170,56.208978
-201.79312,152,56.515843
-20.613067,213,56.952188
-247.398053,109,57.180341
-45.512596,141,57.47153
-10.8559,101,59.978343
-125.199538,197,60.374709
-124.463557,112,60.60094
-288.210567,164,60.926967
-14.552327,139,61.215196
-67.168305,106,61.436408
-72.888781,151,61.7428
-121.322939,134,62.024551
-221.845007,180,64.811052
-64.583316,103,65.025929
-33.287434,152,65.327863
-10.694569,119,65.568205
-16.565923,131,65.805632
-17.828149,210,66.217996
-255.693852,233,69.043231
-37.605885,128,69.294245
-63.49461,227,69.732451
-30.095497,131,70.001234
-192.969098,174,70.333837
-30.002601,138,70.601008
-67.336849,152,73.259584
-11.549724,109,73.472277
-40.964436,140,73.747998
-21.7003,100,73.948283
-58.872478,118,74.194041
127.362034,1000,78.489875
-14.291566,161,78.799879
163.991829,539,82.25292
33.250958,173,82.592568
20.258532,167,82.937541
69.330222,1000,87.207073
-156.751167,233,87.678234
-160.518748,196,88.066466
-58.33227,220,90.841151
-96.884497,151,91.116441
77.92057,1000,103.026064
-101.810431,257,103.548517
-28.890023,282,104.136312
-118.294235,200,104.558071
25.452226,252,107.406942
-251.728739,552,108.554233
42.013882,1000,112.962268
-22.962378,336,115.989412
-9.183827,285,116.543266
-160.455799,463,117.443293
42.663494,1000,121.744562
7.160371,1000,126.031042
201.110207,845,130.106704
90.653759,1000,134.449042
182.209738,839,138.449981
184.991202,732,142.316588
201.936705,688,160.321583
-73.053222,608,164.002426
238.717704,584,165.144804
234.992877,532,168.480336
-27.572685,345,169.155684
244.761561,557,172.598286
240.496557,475,173.476093
219.785516,494,176.746536
237.914131,997,181.036478
231.537434,711,182.459772
215.056223,721,186.192885
151.526289,521,189.510364
194.636697,573,190.628828
201.515035,618,194.220881
