#{"t_start": 1767375794.2799013, "env_id": "CartPole-v1"}
r,l,t
24.987285,25,1.540811
8.989893,9,1.553363
22.976356,23,1.591378
10.988478,11,1.607867
10.990639,11,1.627373
28.97784,29,1.669051
18.987291,19,1.700338
23.985517,24,1.734758
21.985657,22,1.771951
13.986904,14,1.794634
24.989808,25,1.839132
13.989106,14,1.863536
19.988158,20,1.895676
22.982673,23,1.936131
14.980224,15,1.96376
35.981197,36,2.025966
57.957345,58,2.13208
19.988519,20,2.171018
9.991726,10,2.187676
24.984139,25,2.229389
15.986202,16,2.260565
38.964952,39,2.32957
11.990529,12,2.348743
11.990957,12,2.371604
15.98788,16,4.084066
34.967867,35,4.149764
19.988187,20,4.183525
29.979366,30,4.235949
28.982024,29,4.291674
40.959691,41,4.367494
16.982438,17,4.397224
15.986466,16,4.425869
49.982017,50,4.52054
18.981715,19,4.554626
23.979104,24,4.599756
15.981212,16,4.621734
17.984676,18,4.652425
20.980399,21,4.692546
12.986868,13,4.715871
27.981632,28,4.759901
38.975134,39,4.836435
79.94945,80,4.978409
147.905229,148,7.008085
23.974822,24,7.051408
75.929524,76,7.189372
50.935618,51,7.278309
29.981459,30,7.334535
55.961254,56,7.43389
71.963766,72,7.572003
60.959292,61,9.330118
48.975986,49,9.418856
76.918384,77,9.542485
11.986874,12,9.567646
77.939783,78,9.70241
90.930028,91,9.868154
21.97465,22,9.912158
173.873014,174,10.23764
107.933974,108,12.070531
59.937778,60,12.172856
64.954416,65,12.286341
84.955919,85,12.441154
48.961282,49,12.524137
56.951704,57,12.626766
80.932466,81,12.775457
141.902367,142,14.733127
165.917343,166,15.042389
123.929598,124,15.263335
168.895305,169,17.324212
217.867538,218,17.698336
242.848262,243,19.884891
179.905558,180,20.200926
271.799383,272,20.691992
187.861334,188,22.799357
320.781092,321,23.369523
210.892779,211,25.484852
202.834613,203,25.843256
374.715035,375,28.276207
499.671921,500,30.914559
499.700249,500,33.527854
499.831328,500,36.166829
499.717911,500,38.785044
499.845674,500,41.320307
499.84323,500,43.899098
499.848556,500,46.54373
499.806987,500,49.188172
499.822575,500,52.194271
499.811982,500,59.294111
499.864038,500,61.878369
499.874498,500,64.484244
499.891334,500,67.109293
499.87294,500,69.736328
499.915705,500,72.268691
499.911792,500,74.834349
499.912446,500,77.373817
499.922821,500,80.01335
499.916089,500,82.615691
499.897896,500,85.260322
499.916473,500,86.142802
499.918563,500,88.686424
499.888821,500,91.219989
499.934027,500,93.802389
499.927409,500,96.402715
499.942466,500,98.940013
499.928897,500,101.62642
499.925562,500,104.235402
499.950922,500,106.76637
499.95401,500,116.871473
499.935781,500,119.488888
499.955356,500,122.161606
499.943616,500,124.712526
499.942711,500,127.331832
499.956798,500,129.984419
499.953555,500,132.616212
499.962854,500,135.204782
499.957074,500,137.769849
499.958781,500,140.593939
499.958376,500,143.242845
499.961408,500,145.899007
499.967163,500,148.516613
499.970152,500,151.243761
499.966827,500,153.895114
499.964454,500,156.504174
499.974178,500,159.041851
499.971212,500,161.675464
499.970783,500,164.381515
499.965959,500,166.945585
499.96911,500,174.514013
499.970331,500,177.144669
499.978948,500,179.738117
499.978508,500,182.268594
499.974822,500,184.805285
499.978251,500,187.482267
499.974699,500,189.995452
499.979389,500,192.651359
499.974422,500,195.194574
499.979046,500,197.802534
499.977718,500,200.411767
499.977378,500,203.018737
499.979445,500,205.661713
499.971451,500,206.554028
499.974975,500,209.126744
499.979491,500,211.604718
