#{"t_start": 1767375574.4866798, "env_id": "CartPole-v1"}
r,l,t
13.0,13,1.263116
39.0,39,1.316477
12.0,12,1.333664
22.0,22,1.370809
32.0,32,1.411016
21.0,21,1.44149
15.0,15,1.46646
22.0,22,1.501517
22.0,22,1.535619
21.0,21,1.570898
28.0,28,1.615125
24.0,24,1.651972
15.0,15,1.680014
12.0,12,1.69906
12.0,12,1.719173
11.0,11,1.738137
34.0,34,1.798022
10.0,10,1.814224
53.0,53,1.900326
34.0,34,1.959461
13.0,13,1.982436
10.0,10,1.999781
26.0,26,2.050824
24.0,24,3.747062
20.0,20,3.788525
28.0,28,3.832695
13.0,13,3.853699
10.0,10,3.870187
43.0,43,3.946317
28.0,28,3.989564
21.0,21,4.034045
19.0,19,4.065411
10.0,10,4.080913
33.0,33,4.145405
11.0,11,4.16392
47.0,47,4.246762
15.0,15,4.273586
14.0,14,4.297931
18.0,18,4.329981
22.0,22,4.372277
97.0,97,4.532919
16.0,16,4.565968
27.0,27,4.613925
21.0,21,6.354121
48.0,48,6.437002
11.0,11,6.460356
31.0,31,6.518091
54.0,54,6.613121
21.0,21,6.642398
19.0,19,6.679998
14.0,14,6.703061
45.0,45,6.784036
43.0,43,6.854487
27.0,27,6.904022
46.0,46,6.98315
54.0,54,7.080047
34.0,34,7.141366
71.0,71,8.981396
65.0,65,9.091458
195.0,195,9.424385
103.0,103,9.600806
43.0,43,9.674533
115.0,115,11.574335
34.0,34,11.632508
115.0,115,11.829509
109.0,109,12.004747
357.0,357,14.260753
141.0,141,14.485758
200.0,200,14.833627
205.0,205,16.91667
272.0,272,17.37763
265.0,265,19.543255
252.0,252,19.978644
103.0,103,21.926296
492.0,492,24.459033
500.0,500,27.026442
500.0,500,27.870631
500.0,500,30.432749
500.0,500,33.133098
500.0,500,35.697639
500.0,500,38.296337
500.0,500,40.939903
500.0,500,43.501345
500.0,500,46.056011
500.0,500,48.582745
500.0,500,55.594352
500.0,500,58.146826
500.0,500,60.677532
500.0,500,63.213436
500.0,500,65.816024
500.0,500,68.386728
500.0,500,70.932307
500.0,500,73.493386
500.0,500,75.986702
500.0,500,78.552428
500.0,500,81.103216
500.0,500,83.648064
500.0,500,86.249658
500.0,500,88.822151
500.0,500,91.534023
500.0,500,94.090198
500.0,500,96.613702
500.0,500,99.289182
500.0,500,101.873465
500.0,500,104.400161
500.0,500,111.382324
500.0,500,113.988151
500.0,500,116.595576
500.0,500,119.18208
500.0,500,121.695842
500.0,500,124.18582
500.0,500,126.697912
500.0,500,129.244941
500.0,500,131.84574
500.0,500,134.393394
500.0,500,136.979113
500.0,500,139.592784
500.0,500,142.257452
500.0,500,143.111836
500.0,500,145.675488
500.0,500,148.285029
500.0,500,150.982281
500.0,500,153.563409
500.0,500,156.150576
500.0,500,158.694576
500.0,500,165.614181
500.0,500,168.094658
500.0,500,170.655107
500.0,500,173.295491
500.0,500,175.876811
500.0,500,178.448232
500.0,500,181.025007
500.0,500,183.617437
500.0,500,186.222458
500.0,500,188.754718
500.0,500,191.262179
500.0,500,193.822023
500.0,500,196.390344
500.0,500,198.888801
500.0,500,201.528194
500.0,500,204.125139
