#{"t_start": 1767374436.8189695, "env_id": "CartPole-v1"}
r,l,t
10.984319,11,1.094467
21.975258,22,1.096621
18.969319,19,1.098355
19.982135,20,1.100316
12.985555,13,1.103858
16.979566,17,1.106465
14.980539,15,1.108111
20.98043,21,1.11
15.985628,16,1.112922
11.985986,12,1.114051
11.986177,12,1.115156
49.915366,50,1.11997
15.980685,16,1.12571
15.983614,16,1.127198
13.985225,14,1.128514
28.967145,29,1.131074
29.960011,30,1.135184
23.977651,24,1.137337
23.979972,24,1.139497
11.98836,12,1.140908
13.986405,14,1.143506
19.98091,20,1.145324
14.978578,15,1.146713
15.988462,16,1.148171
16.982657,17,1.15104
17.981664,18,1.152717
22.973836,23,1.154758
14.980585,15,1.156325
10.987782,11,1.158676
19.983448,20,1.160506
23.981353,24,1.163164
23.974409,24,1.165288
9.988906,10,1.167557
19.976458,20,1.16937
13.983125,14,1.17066
18.979937,19,1.172545
17.976479,18,1.175434
12.982713,13,1.176626
24.976701,25,1.178856
40.956015,41,1.182409
19.979204,20,1.185664
20.982778,21,1.187648
13.981777,14,1.189119
41.939592,42,1.195069
46.962371,47,1.201033
44.948913,45,1.205518
15.97565,16,1.20702
26.966047,27,1.210813
13.983737,14,1.229097
10.988117,11,1.238544
15.981111,16,1.248159
41.952025,42,1.275045
23.981126,24,1.296445
9.988132,10,1.307989
14.983147,15,1.324389
14.980013,15,1.339723
12.983461,13,1.354656
43.944215,44,1.398409
18.981464,19,1.422887
20.972847,21,1.443948
22.962346,23,1.472359
39.971032,40,1.512774
17.981548,18,1.534118
11.98261,12,1.54776
13.985095,14,1.567236
10.985571,11,1.57637
15.980934,16,1.593119
11.982306,12,1.606052
21.980364,22,1.637934
24.979166,25,1.660061
36.93102,37,1.689713
19.980051,20,1.711547
36.94748,37,1.751093
23.976982,24,1.778678
11.982677,12,1.793059
12.985674,13,1.807576
53.926169,54,1.873255
10.98616,11,1.882025
27.970905,28,1.902767
18.98117,19,1.917855
10.983186,11,1.934465
24.972262,25,1.967448
16.981651,17,1.987456
15.978831,16,2.005717
15.980693,16,2.025585
12.986964,13,2.039147
28.965937,29,2.072352
15.980165,16,2.092326
21.982837,22,2.115216
23.978733,24,2.138239
36.96236,37,2.165475
27.980201,28,2.200198
17.983626,18,2.218347
17.978203,18,2.230984
37.938999,38,2.264498
43.942929,44,2.304772
10.985808,11,2.323552
9.987873,10,2.332867
14.978088,15,2.344876
33.97214,34,2.375003
19.981037,20,2.392465
9.987435,10,2.408997
14.977446,15,2.428418
14.98341,15,2.442954
18.981118,19,2.467997
10.986038,11,2.482123
52.887668,53,2.538166
27.975757,28,2.564511
14.981277,15,2.579605
56.922093,57,2.627694
17.979036,18,2.651101
15.984906,16,2.668776
11.985288,12,2.684237
32.973951,33,2.707543
10.987064,11,2.716172
11.98543,12,2.724874
32.958559,33,2.756989
13.979399,14,2.766945
10.985294,11,2.776101
24.978395,25,2.796175
19.980722,20,2.82191
21.976504,22,2.853042
28.97169,29,2.880363
11.983087,12,2.889569
14.986907,15,2.905785
34.957259,35,2.937318
23.982068,24,2.970392
