#{"t_start": 1767403205.8956597, "env_id": "LunarLander-v3"}
r,l,t
-160.710753,117,1.694672
-80.970048,79,1.841183
-222.658379,75,1.979929
-177.375572,114,2.193845
-97.760045,67,2.32385
-200.110567,58,2.436789
-116.701152,67,2.578758
-76.814475,66,2.717174
-104.175478,58,2.836732
-182.818704,92,3.026283
-106.108281,96,3.217937
-192.391695,103,3.427464
-135.575919,88,5.930515
-159.783587,138,6.214846
-382.3625,147,6.514235
-122.827671,78,6.662131
-146.560822,104,6.877794
-303.759194,90,7.072685
-95.081828,78,7.239966
-91.371822,85,7.409339
-139.847163,70,7.543749
-219.225963,93,7.731731
-348.355666,99,10.309709
-115.207335,74,10.46347
-96.134746,78,10.617306
-143.955611,93,10.814
-89.572417,74,10.954729
-82.766083,83,11.132714
-171.462434,103,11.334442
-78.87582,65,11.474053
-158.622587,140,11.759611
-113.583337,99,11.963683
-57.471026,66,12.103124
-160.980906,93,12.29838
-99.692943,64,14.739403
-119.795347,109,14.950458
-106.610482,62,15.06986
-311.600292,107,15.287344
16.854301,125,15.551038
-161.369591,92,15.73029
-83.69562,74,15.865701
-97.26224,100,16.072427
-64.686111,111,16.293973
-84.80231,73,16.422896
-161.196532,108,16.646314
-98.357389,65,19.107799
-173.305216,132,19.377998
-119.783481,116,19.598643
-330.79016,161,19.921288
-110.037925,121,20.169235
-68.511129,139,20.438431
-141.910141,99,20.635031
-54.701956,71,20.786427
-177.735246,110,21.006925
-100.064528,80,23.53309
-124.505034,86,23.707877
-80.457143,108,23.925508
-29.152857,69,24.06074
-114.833228,188,24.449856
-274.417747,170,24.786968
-81.251991,164,25.117533
-171.341109,79,25.274215
-158.811857,83,25.446576
-354.571933,195,28.120054
-104.827525,116,28.340465
35.470235,103,28.550463
5.311337,114,28.775379
-244.67621,112,29.002235
-51.976841,130,29.264276
-128.48724,131,29.532792
-138.788624,89,29.714673
-177.800074,85,32.283888
-100.354669,133,32.560303
0.811458,85,32.738857
-130.890651,106,32.948683
-90.396186,183,33.309917
-86.767958,128,33.572602
3.074832,150,33.874549
-202.233567,106,34.078919
-85.693198,133,36.728203
-296.454136,127,36.991032
-327.708269,156,37.304403
-140.338804,271,37.826584
-207.132586,92,38.010338
-200.091206,136,38.299065
-38.391219,104,38.516226
-156.239262,141,41.124557
-293.394085,211,41.556794
-101.649008,183,41.917526
-390.630752,167,42.250532
-297.58654,190,42.609096
-2.654996,1000,51.852279
-187.535886,112,52.08824
-305.688473,251,54.885645
-226.482267,185,55.260704
-158.307047,103,55.527094
-358.479032,156,55.857005
-130.807716,226,56.34257
-233.499033,167,56.692347
-314.665141,204,59.571934
