#{"t_start": 1767375794.413379, "env_id": "CartPole-v1"}
r,l,t
14.986133,15,1.392882
19.984905,20,1.421568
36.969814,37,1.481648
27.985749,28,1.523806
18.984106,19,1.55166
40.974157,41,1.616771
14.986391,15,1.641761
18.986876,19,1.675124
11.988406,12,1.696127
13.987545,14,1.719656
15.985497,16,1.746761
11.987938,12,1.765339
19.986181,20,1.800802
22.967515,23,1.842854
20.982766,21,1.879786
30.97888,31,1.938274
10.989066,11,1.957224
31.97495,32,2.016763
29.980724,30,2.068803
19.982737,20,2.100229
30.98308,31,2.159236
11.989203,12,2.180449
11.988595,12,2.200252
14.990687,15,2.225909
12.990231,13,3.934909
18.988894,19,3.967923
46.971685,47,4.053355
21.983642,22,4.091638
16.978464,17,4.125371
22.983327,23,4.167019
64.960438,65,4.285007
70.927078,71,4.417551
41.971631,42,4.488379
31.982762,32,4.545999
48.971904,49,4.628037
21.989492,22,4.673057
12.985523,13,4.697559
14.988009,15,4.72434
17.986732,18,4.756863
73.917277,74,6.648478
33.966098,34,6.707133
32.973786,33,6.770633
42.980993,43,6.845891
13.991312,14,6.874692
14.987081,15,6.901896
51.965156,52,7.000754
20.971351,21,7.034912
57.955268,58,7.135764
72.927204,73,7.271865
74.938134,75,7.408294
26.974268,27,7.460228
30.965716,31,7.514395
161.893275,162,9.443
32.960946,33,9.499115
85.952002,86,9.656741
60.957483,61,9.769247
18.976179,19,9.804015
42.980983,43,9.885893
22.975318,23,9.926616
50.933249,51,10.022305
148.887117,149,11.934395
84.919285,85,12.081059
70.957551,71,12.207129
101.920208,102,12.385546
46.940522,47,12.473686
26.97185,27,12.518834
148.871596,149,14.489193
115.890373,116,14.700047
99.925795,100,14.889696
141.918036,142,15.141264
236.873638,237,17.326965
385.805729,386,19.753411
144.923272,145,20.000021
283.759766,284,20.521194
155.921154,156,22.567393
275.876951,276,23.060949
338.772297,339,25.397512
285.845777,286,25.883933
375.687949,376,28.348924
499.836369,500,30.995336
499.742504,500,33.592617
499.847802,500,36.240184
499.826779,500,38.862376
499.814688,500,41.394832
499.769716,500,43.973618
499.747775,500,46.612783
258.870359,259,48.824525
499.853067,500,51.818858
499.858307,500,57.249204
499.83892,500,59.818679
499.875868,500,62.4001
499.875862,500,65.02306
499.902886,500,67.646438
499.906861,500,70.24838
499.892849,500,72.787629
499.908392,500,75.36319
499.919388,500,77.910056
499.927321,500,80.568577
499.910426,500,83.15277
499.909524,500,85.78371
499.900079,500,88.332006
499.9031,500,90.846368
499.918953,500,93.44482
499.929498,500,96.035858
499.940636,500,98.571023
499.933087,500,101.280464
499.953607,500,103.886129
499.937299,500,106.405335
499.917664,500,116.505528
499.939502,500,119.116517
499.948077,500,121.795081
499.93973,500,124.358944
499.931662,500,126.966987
499.943393,500,129.571506
499.955203,500,132.253023
499.949864,500,134.850234
499.959258,500,137.415626
499.958364,500,140.240997
499.954465,500,142.882666
499.96656,500,145.545456
499.964426,500,148.151957
499.971026,500,150.879744
499.972451,500,153.521686
499.966125,500,156.147897
499.965508,500,158.698257
499.970088,500,161.319841
499.972767,500,164.024565
499.971498,500,166.566394
499.970455,500,174.143931
499.974436,500,176.776946
499.965961,500,179.390543
499.97508,500,180.253539
499.977062,500,182.788945
499.975636,500,185.326275
499.975258,500,187.996092
499.977247,500,190.530964
499.976663,500,193.177354
499.978865,500,195.747263
499.978551,500,198.302033
499.975534,500,200.942823
499.979039,500,203.542284
499.978853,500,206.188538
499.976305,500,208.773721
499.977919,500,211.245928
