#{"t_start": 1767401627.4691217, "env_id": "LunarLander-v3"}
r,l,t
-364.276712,95,1.500308
-71.00761,88,1.651549
-162.665905,64,1.780907
-77.54123,58,1.884487
-56.457736,61,2.009138
-131.162795,113,2.241277
-477.111959,114,2.476022
-126.499635,93,2.663568
-90.326166,61,2.786325
-272.960002,67,2.927601
-66.431021,63,3.0568
-132.974828,101,3.256309
-154.908685,78,5.738089
-89.70522,82,5.911887
-221.566021,105,6.123754
-121.102412,135,6.390387
-165.659696,127,6.658196
-61.652605,68,6.796367
-132.165945,111,7.029573
-56.190629,106,7.232216
-98.491295,57,7.34563
-111.60437,131,7.60671
-112.075976,73,10.230923
-181.112435,113,10.442547
-133.264257,115,10.675413
-519.337155,110,10.894607
-207.425972,132,11.172977
-91.558138,77,11.331444
-86.905764,63,11.466851
-292.575465,94,11.665727
-202.15513,84,11.83399
-259.869476,147,12.118927
-126.941223,71,12.266437
-222.335733,118,14.97409
-153.776352,95,15.167366
-2.733011,97,15.366153
-285.018754,160,15.68652
-307.343339,136,15.964494
-74.038889,79,16.122601
-132.606628,99,16.319169
-159.023751,101,16.513521
-87.83457,130,16.81551
-86.510375,66,19.267473
-49.186375,120,19.506588
-337.609181,91,19.692514
-247.924897,114,19.921661
-53.894382,76,20.060934
-267.278446,149,20.358202
-67.614954,152,20.6769
-190.694418,126,20.929644
-87.314762,118,21.161442
-14.5378,84,23.707083
-122.079452,111,23.927766
-71.146612,101,24.138318
-142.976947,154,24.458268
-102.547643,149,24.757444
-79.394377,105,24.960035
-114.784171,129,25.20789
-270.807583,158,25.525544
-71.427808,121,28.065591
-66.854735,80,28.228376
-94.514113,124,28.470914
-32.88834,121,28.717732
-189.472818,117,28.938882
-112.518505,146,29.227714
-39.252047,90,29.410537
-261.683405,185,29.75659
-69.116296,95,29.949359
-242.009239,133,32.578534
-165.751374,201,32.99398
-185.394261,124,33.254581
-95.758298,92,33.451039
-41.458303,147,33.732147
-106.031835,185,34.086371
8.784547,96,34.286686
-31.603812,127,36.829636
-95.317095,207,37.249683
-52.363536,154,37.552603
-33.668765,137,37.826038
-7.555292,218,38.272037
-62.472178,104,38.466774
-33.173936,131,38.713761
-297.597584,205,41.4846
17.212616,158,41.775285
-175.008478,127,42.038773
-185.418559,169,42.37433
-265.883269,155,50.673657
-137.036713,157,50.999418
-107.504418,242,53.874853
-245.205651,189,54.260021
-80.457313,203,54.655045
-193.426366,208,55.068082
-280.988131,198,55.449502
-213.489009,182,58.244908
-110.491889,209,58.648312
-239.671796,205,59.050223
-114.890179,205,59.472553
-27.453476,133,59.737751
-7.799886,202,62.476672
-21.959464,191,62.865461
-58.52977,203,63.273537
-114.656368,198,63.671256
-171.952181,181,64.044902
-42.666124,132,64.311495
-26.643276,237,67.178815
-103.393554,198,67.589334
21.7284,219,68.041067
-26.742509,137,68.297551
-123.674676,246,68.783949
-101.72558,184,71.529063
18.755297,174,71.867608
-220.129038,180,72.23761
-85.989523,352,72.948355
3.980691,185,75.793402
-95.01917,278,76.349008
-179.936707,287,76.965271
-97.292004,187,77.35665
-211.258123,200,77.739466
15.260962,1000,82.005372
-90.45146,320,85.006234
-156.349695,293,85.574434
-194.316075,230,86.035148
-217.864139,286,88.986501
58.136976,188,89.353185
-17.11946,207,89.771844
-62.747936,230,90.243547
153.938476,523,93.689369
-135.611171,380,94.445753
-32.816166,160,103.872082
-61.465608,232,104.327082
9.250133,229,107.073148
-46.471602,340,107.739938
14.365622,290,108.342915
-81.325256,228,108.792568
112.878974,1000,113.200271
-107.413118,1000,117.51836
-84.738902,1000,121.876731
65.582099,1000,126.363288
-45.385008,1000,130.789029
-69.407685,1000,135.226177
-71.986201,1000,139.747585
33.66405,1000,144.10384
-70.828103,1000,164.777731
-53.085654,1000,169.12214
-85.135213,1000,173.523042
-54.866118,1000,177.860066
-18.517679,1000,182.27215
-82.025398,1000,186.717226
-33.603312,1000,191.050279
-51.265239,1000,195.460535
81.962842,1000,199.740788
-76.874896,780,203.568617
3.175056,1000,224.00205
99.217764,1000,228.311976
43.73664,1000,232.708279
40.492794,1000,237.10133
51.210886,1000,241.555671
123.47106,646,242.820535
67.082406,1000,247.208527
83.331374,1000,251.544111
136.666943,722,255.344217
75.592729,1000,259.771509
193.857104,551,263.257443
43.720117,1000,280.519046
80.174049,1000,284.908065
100.514732,1000,289.282636
95.167695,1000,293.678507
63.730029,1000,298.01307
-24.614976,419,301.120772
63.820889,1000,305.507391
166.727464,964,309.776491
118.554236,1000,314.077324
209.566932,694,315.45915
198.382229,647,319.200653
54.563597,1000,323.520162
86.487885,1000,339.580303
224.135791,481,340.529616
220.1908,449,343.778702
211.79407,442,344.627512
226.538859,443,347.917477
-40.509591,497,348.886093
232.148192,494,352.109331
218.96261,547,353.163752
85.1938,1000,357.489059
198.238846,794,361.430897
211.903414,614,365.078185
246.487637,749,366.52684
-5.704396,302,369.521305
-54.838098,398,370.290663
-0.259652,359,370.969651
57.555193,1000,375.368767
207.266612,445,378.717345
208.495861,489,388.691464
94.391623,1000,393.039736
-45.454814,349,396.064064
221.658527,338,396.754641
205.851871,419,397.53768
191.047461,401,400.733948
249.145737,390,401.508736
213.107393,416,402.332404
-59.398067,377,405.395112
223.166498,455,406.27822
193.626599,457,409.492808
-81.089338,518,410.461332
175.331885,421,413.64382
58.916509,1000,418.015759
171.233219,435,418.868616
131.683251,685,422.473077
221.788321,424,423.337653
110.363203,1000,427.73328
228.601408,405,430.947984
-29.805806,239,441.592927
187.924108,501,442.564326
163.063832,693,446.36468
196.990699,515,447.408055
202.365249,599,450.894922
