#{"t_start": 1767392732.5390642, "env_id": "LunarLander-v3"}
r,l,t
-191.079601,66,1.216043
-83.096683,99,1.228872
-388.351327,99,1.241737
-104.609949,78,1.252148
-77.15515,82,1.264256
-241.519513,109,1.278472
-100.039091,78,1.288604
-258.553247,115,1.303826
-41.87305,117,1.321482
-325.531621,97,1.335855
-179.046834,138,1.356689
-176.180847,78,1.367329
-318.005279,81,1.382029
-156.914147,72,1.392028
-96.111264,57,1.399862
-158.8485,108,1.414175
-150.887097,125,1.432108
-179.212916,63,1.440905
-75.659036,117,1.456189
-310.18209,110,1.473356
-126.543469,143,1.493166
-7.107936,82,1.504286
-122.986318,94,1.516561
-90.362452,117,1.531684
-371.654582,92,1.545617
-410.976806,138,1.564777
-250.83549,71,1.574577
-257.071827,114,1.593901
-231.70529,85,1.606908
-295.964808,75,1.617014
-119.550006,69,1.62655
-208.197968,76,1.636618
-368.025356,97,1.650708
-102.803329,70,1.660346
-357.683589,110,1.675895
-327.733319,95,1.688608
-121.456265,85,1.70214
22.868751,94,1.715064
-183.723154,105,1.732286
-111.038154,65,1.742691
-349.380314,89,1.75945
-68.388736,81,1.770454
-154.261407,96,1.783559
-177.399003,76,1.793921
-325.243849,71,1.805393
-111.337098,120,1.821776
14.39702,76,1.832645
-88.52453,82,1.846393
-83.217764,78,1.858951
-46.722893,75,1.869257
-256.264018,117,1.885262
-96.093665,77,1.896743
-163.455029,68,1.907615
-208.905447,79,1.918808
-96.267587,118,1.936448
-161.271254,66,1.948542
-244.319659,107,1.979676
-122.939758,114,2.001151
-159.948125,74,2.015664
-102.835592,85,2.036544
19.275806,112,2.06242
-206.456586,77,2.080506
-139.423949,65,2.091227
-101.726509,68,2.101871
-110.922186,98,2.127729
-127.991395,91,2.142319
-332.062056,96,2.157416
-128.642015,69,2.168875
-358.733013,98,2.186197
-236.977422,101,2.204813
-89.28269,65,2.215447
-190.562299,81,2.227895
-67.228102,114,2.246711
-82.262029,89,2.260051
-108.924693,94,2.274061
-281.724106,106,2.289845
-146.576058,97,2.308889
-123.870076,64,2.320993
-306.312246,117,2.338048
-269.590419,109,2.353803
-342.732501,77,2.366699
-71.218483,75,2.378253
-208.907717,107,2.393336
-195.855263,114,2.409453
-471.082557,110,2.426648
-503.078268,97,2.443483
-372.325591,85,2.455928
-132.056633,102,2.470604
-216.243885,137,2.491677
-146.904081,129,2.509877
-351.713755,109,2.524739
-494.518132,96,2.538468
-417.484705,100,2.553976
-156.990216,92,2.570597
-361.456563,113,2.586711
-247.563364,120,2.603195
-159.696886,85,2.616517
-117.604449,85,2.628525
-249.798835,104,2.643089
-65.076822,70,2.652954
-111.985065,74,2.665154
-74.346867,70,2.675299
-362.962917,113,2.694265
-114.632573,98,2.708123
39.640769,93,2.722555
-112.142744,81,2.733565
-235.543338,65,2.742589
-264.502697,114,3.713706
-307.155226,102,3.83383
-127.460587,86,3.960964
-280.183157,94,4.092085
-420.544787,89,4.222294
-99.943023,101,4.36446
-113.532338,85,4.45014
-131.410494,70,4.525534
-116.94615,135,4.721765
-192.167418,74,4.824693
-154.673111,79,4.929424
-158.685129,91,5.052343
-230.381856,106,5.193669
-75.239911,84,5.291294
-85.834612,145,5.484393
-87.484136,80,5.573452
-364.783901,151,5.768693
-155.52971,113,5.910182
-102.774584,69,5.983114
-217.250551,117,6.147737
-200.219948,82,6.269325
-102.891007,90,6.400021
-89.926475,67,6.48519
-120.172809,71,6.588817
-171.386693,89,6.705863
-58.370371,79,6.797022
-167.70841,72,6.88251
-88.120352,72,6.982905
-84.420064,66,7.077482
-84.038125,117,7.258475
-167.590597,73,7.352976
-86.394577,70,7.447093
-129.040845,105,7.603076
-59.803255,106,7.741917
-71.648961,78,7.86786
-51.320186,147,8.079329
-149.110112,110,8.231633
-185.54404,97,8.3807
-136.242931,83,8.482036
-151.473138,79,8.594922
-81.984189,76,8.707236
-168.313233,91,8.823089
-54.859769,64,8.902054
-123.766747,108,9.065881
-223.778105,79,9.163222
-71.851554,70,9.273449
-91.097732,96,9.400655
-181.577823,73,9.504101
-85.044325,59,9.600303
-221.27341,82,9.708525
-176.358723,146,9.919012
-168.419449,134,10.097215
-110.024841,118,10.257458
-124.030296,68,10.336152
12.9811,83,10.451537
6.324651,82,10.577353
-43.126743,87,10.691933
-313.483396,112,10.841114
-66.501784,71,10.952007
-276.662505,96,11.079911
-175.42854,82,11.19032
-15.048154,124,11.378046
-22.781623,113,11.558767
-73.983858,78,11.665714
-616.174898,129,11.834849
-121.725489,91,11.983776
-84.969804,80,12.09466
-185.938042,113,12.261071
-172.54813,148,12.426327
-130.398748,109,12.573884
-376.087765,91,12.704777
-139.41577,110,12.853136
-113.731722,91,12.969288
-141.440198,90,13.09004
-97.464465,98,13.199113
-322.675466,113,13.363218
-111.902859,87,13.475723
-139.658395,101,13.622381
-198.995467,98,13.772062
-130.87895,81,13.887506
-88.091439,124,14.040318
-96.216807,79,14.14118
-111.191642,70,14.245634
-123.618652,68,14.349444
-359.655658,94,14.480811
-140.953151,90,14.602617
-153.499522,122,14.794469
-424.356202,107,14.959002
-232.171178,62,15.035248
-104.252352,112,15.188835
-108.609115,112,15.336541
-242.732011,119,15.50965
-85.790692,92,15.634854
-58.023468,79,15.753637
-74.365419,77,15.868614
-70.528641,62,15.951905
-85.295978,87,16.070026
-128.138612,76,16.178318
-193.929691,108,16.30819
-365.501095,95,16.428376
-254.206875,123,16.584476
-95.801,70,16.680827
-234.19902,79,16.778279
-333.072414,109,16.920857
-330.306862,87,17.047891
-149.34578,88,17.166434
-167.510497,65,17.25454
-72.602782,95,29.462729
-88.7054,67,29.557854
-106.661994,92,29.690326
-157.124643,97,29.836015
-47.277267,88,29.952001
-101.422404,67,30.041081
-141.669366,102,30.188606
-117.523864,75,30.2909
-116.815794,66,30.380813
-125.44132,85,30.503946
-81.58096,64,30.593079
-147.154457,79,30.687732
-109.617303,101,30.837763
-291.195192,88,30.995561
-67.120614,128,31.165715
-373.033842,122,31.350161
-84.511619,83,31.490782
-332.189304,138,31.720141
-236.972132,150,31.962166
-74.415646,74,32.063617
-97.460289,87,32.17952
-5.439514,120,32.337267
-441.857623,92,32.470607
-114.357708,106,32.621678
-93.012873,97,32.755328
-91.162316,93,32.88623
-121.060921,93,33.026005
-175.223981,93,33.153604
-117.83602,77,33.254444
-208.249111,117,33.409407
-77.217433,119,33.571314
-311.468362,96,33.700482
-111.337251,118,33.857224
-295.040907,109,34.010808
-104.515632,137,34.195354
-110.674774,82,34.302605
-101.366771,113,34.483896
-101.292061,100,34.616374
-59.269349,66,34.703411
20.525845,116,34.855193
-56.145578,63,34.945944
-351.711835,149,35.153307
-144.768715,93,35.289974
-135.917094,105,35.454254
-27.489411,140,35.669509
-272.6036,107,35.833977
