#{"t_start": 1767373284.8356102, "env_id": "CartPole-v1"}
r,l,t
10.990696,11,1.087009
21.982689,22,1.089289
18.980979,19,1.091118
19.988452,20,1.093078
12.98866,13,1.09624
16.982601,17,1.098139
14.98488,15,1.099576
20.986414,21,1.101433
15.988659,16,1.104364
11.989286,12,1.105486
11.989549,12,1.106584
49.950493,50,1.110972
15.987883,16,1.116458
15.990909,16,1.117931
13.989314,14,1.11924
28.978603,29,1.121758
29.973292,30,1.125953
23.984611,24,1.12807
23.985657,24,1.130295
11.99074,12,1.13144
13.988885,14,1.134083
19.985828,20,1.135894
14.987348,15,1.137256
15.991226,16,1.138723
16.984566,17,1.141646
17.988362,18,1.143326
22.977991,23,1.145373
14.982915,15,1.146847
10.989811,11,1.149302
19.987759,20,1.151108
23.98666,24,1.154809
23.982997,24,1.156963
9.990676,10,1.159416
19.985198,20,1.161203
13.985844,14,1.16248
18.987124,19,1.164217
17.986102,18,1.167191
12.98741,13,1.168371
24.985532,25,1.170582
40.97417,41,1.174294
19.981083,20,1.17755
20.986673,21,1.179384
13.984322,14,1.180773
41.962763,42,1.184347
46.977078,47,1.190189
44.972239,45,1.194036
15.982463,16,1.195433
26.976297,27,1.201489
13.986231,14,1.215942
10.99043,11,1.223273
15.983589,16,1.233349
41.978098,42,1.270157
23.986444,24,1.287654
9.992171,10,1.292815
14.985685,15,1.305741
14.982712,15,1.316141
12.98501,13,1.325999
43.970106,44,1.366711
18.988076,19,1.380256
20.981457,21,1.393714
22.973366,23,1.4193
39.983826,40,1.447398
17.984956,18,1.459166
11.985357,12,1.467482
13.988206,14,1.481064
10.991195,11,1.486968
15.984447,16,1.498069
11.986511,12,1.507381
21.987549,22,1.535493
24.982795,25,1.555986
36.956552,37,1.582388
19.985179,20,1.596907
36.967261,37,1.63845
23.979185,24,1.660416
11.987062,12,1.670038
12.989314,13,1.679598
53.962441,54,1.722251
10.98945,11,1.731308
27.980776,28,1.758659
18.985614,19,1.782193
10.987434,11,1.799566
24.98094,25,1.82051
16.986263,17,1.839295
15.9872,16,1.859802
15.984649,16,1.875774
12.99004,13,1.890608
28.981055,29,1.923374
15.981743,16,1.936044
21.987603,22,1.954232
23.986567,24,1.978509
36.96727,37,2.006353
27.982782,28,2.028762
17.989399,18,2.047489
17.986008,18,2.060622
37.951688,38,2.101694
43.952903,44,2.13653
10.989594,11,2.149987
9.98964,10,2.156521
14.984079,15,2.168854
33.981427,34,2.200419
19.986019,20,2.219275
9.990494,10,2.228301
14.981556,15,2.241222
14.986523,15,2.251511
18.984168,19,2.271133
10.989623,11,2.281532
52.936585,53,2.332485
27.977382,28,2.360429
14.988652,15,2.377063
56.950611,57,2.429258
17.983779,18,2.444312
15.98687,16,2.456584
11.990017,12,2.468964
32.981047,33,2.494088
10.990303,11,2.503787
11.99083,12,2.515871
32.964267,33,2.545183
13.982866,14,2.560595
10.987728,11,2.570684
24.981657,25,2.58995
19.982978,20,2.609361
21.984483,22,2.635364
28.975286,29,2.658245
11.987349,12,2.667976
14.989806,15,2.683301
34.964229,35,2.710568
23.986684,24,2.729492
22.983626,23,2.750374
11.98731,12,2.763702
12.988578,13,2.776625
18.975809,19,2.790354
23.98598,24,2.810738
13.984808,14,2.827131
11.989738,12,2.84036
22.984071,23,2.871317
31.978839,32,2.905898
10.988568,11,2.916418
12.987589,13,2.928062
25.984329,26,2.947126
21.988048,22,2.973191
15.984681,16,2.989656
14.982946,15,3.001918
14.989247,15,3.015561
20.988214,21,3.031676
32.986082,33,3.067308
22.985718,23,3.090061
80.946718,81,3.157151
16.986999,17,3.169883
27.965956,28,3.203137
22.989619,23,3.223348
13.989028,14,3.235519
16.984988,17,3.254678
14.985578,15,3.270357
23.987441,24,3.288897
28.980037,29,3.325334
22.986167,23,3.346102
9.989196,10,3.362581
20.98022,21,3.382728
9.990549,10,3.389462
11.987371,12,3.398583
22.983511,23,3.425559
12.989519,13,3.435924
16.986408,17,3.451519
21.986492,22,3.468707
20.978729,21,3.496498
14.986099,15,3.510894
18.983541,19,3.530622
28.981544,29,3.553175
40.964821,41,3.590923
12.988555,13,3.607041
16.98295,17,3.625483
16.986587,17,3.649562
25.985617,26,3.677067
16.984656,17,3.689701
43.955003,44,3.72546
35.969481,36,3.758559
16.985796,17,3.776245
24.977862,25,3.801091
14.987016,15,3.816488
16.982051,17,3.836162
21.97787,22,3.870378
22.97441,23,3.889228
32.972121,33,3.915074
10.99022,11,3.924778
25.97542,26,3.948565
19.980049,20,3.972099
18.988877,19,3.999787
25.96381,26,4.021644
9.991943,10,4.035264
10.987988,11,4.045694
39.981069,40,4.095462
18.985024,19,4.112163
30.975902,31,4.141163
11.988638,12,4.150735
14.987412,15,4.163784
40.975742,41,4.202965
12.985191,13,4.217139
14.986651,15,4.230632
52.978158,53,4.280861
11.989241,12,4.291202
28.984713,29,4.326615
28.974245,29,4.356169
16.982891,17,4.369664
20.982427,21,4.387386
24.977902,25,4.421764
18.987171,19,4.436635
25.969757,26,4.460306
20.979639,21,4.47752
20.982253,21,4.4981
41.962176,42,4.542973
27.982447,28,4.572209
12.989857,13,4.583944
26.978336,27,4.609791
15.985846,16,4.622669
11.988309,12,4.636776
98.938839,99,4.730207
35.982004,36,4.767083
16.989226,17,4.780359
19.986325,20,4.796786
11.984188,12,4.806751
40.956869,41,4.844933
15.983983,16,4.862523
11.990704,12,4.87734
16.985679,17,4.891664
54.928072,55,4.944942
8.990903,9,4.951308
18.983711,19,4.971915
26.983323,27,4.99833
15.990206,16,5.015546
14.988316,15,5.029178
25.965626,26,5.049134
12.987671,13,5.059601
29.987877,30,5.102973
103.925494,104,5.192302
16.979775,17,5.208446
63.956443,64,5.266123
14.983686,15,5.283331
26.968974,27,5.311757
22.977232,23,5.333766
12.989681,13,5.346136
8.990632,9,5.355354
37.975788,38,5.392685
18.989595,19,5.412402
17.985934,18,5.430076
18.978634,19,5.447031
10.988434,11,5.459128
21.988158,22,5.484494
19.979164,20,5.501166
18.976258,19,5.521296
23.984476,24,5.549617
20.987142,21,5.56781
14.98622,15,5.577151
12.989068,13,5.591847
26.974552,27,5.610558
14.984032,15,5.623684
39.975157,40,5.662484
27.983416,28,5.688495
8.989806,9,5.695113
38.961702,39,5.728529
22.984211,23,5.751581
30.982898,31,5.780602
14.990528,15,5.790667
13.991152,14,5.804525
13.988454,14,5.819273
13.984856,14,5.8355
47.954641,48,5.879975
19.978972,20,5.896237
29.977155,30,5.920873
13.985879,14,5.936519
44.962397,45,5.977897
9.990851,10,5.987208
10.987016,11,5.995925
56.961523,57,6.047156
11.989519,12,6.056752
34.981566,35,6.095528
14.986343,15,6.115001
19.985723,20,6.14035
59.965362,60,6.19773
14.987502,15,6.215647
19.976139,20,6.232074
26.976177,27,6.258031
39.954691,40,6.299081
33.981112,34,6.332283
17.98574,18,6.35209
10.991392,11,6.361998
10.988352,11,6.372149
11.987324,12,6.38687
19.978597,20,6.412838
41.973107,42,6.451673
10.989807,11,6.458514
24.979037,25,6.480847
12.985229,13,6.490669
40.971689,41,6.537879
12.989429,13,6.5477
26.974455,27,6.571282
29.984798,30,6.60051
14.985231,15,6.613554
81.939228,82,6.686256
11.989227,12,6.696034
20.988604,21,6.712111
23.973803,24,6.740553
27.980668,28,6.773301
36.976271,37,6.804894
58.971248,59,6.866824
22.986914,23,6.900621
17.988315,18,6.921405
11.98656,12,6.935417
20.98718,21,6.954411
26.98587,27,6.986027
37.966362,38,7.024063
14.990537,15,7.036576
42.971484,43,7.079417
63.940348,64,7.135863
13.987679,14,7.149024
19.983169,20,7.165331
17.98879,18,7.178966
29.967034,30,7.21113
13.984461,14,7.22581
17.982544,18,7.249565
19.985173,20,7.273515
39.963449,40,7.319943
23.979389,24,7.349009
29.97945,30,7.382157
20.981148,21,7.404824
49.971835,50,7.467915
14.984671,15,7.480676
17.986872,18,7.493803
28.979851,29,7.523695
12.988759,13,7.541839
29.954116,30,7.566
11.989886,12,7.57642
60.959903,61,7.633274
17.982301,18,7.65093
8.988844,9,7.657519
65.964957,66,7.719915
11.988752,12,7.729247
17.980263,18,7.757149
14.988176,15,7.777556
37.964227,38,7.81771
23.982323,24,7.840589
27.98279,28,7.876372
31.97975,32,7.914541
26.984728,27,7.941292
52.970901,53,8.004163
37.973939,38,8.041532
23.972552,24,8.061118
11.985995,12,8.075922
12.985939,13,8.087715
18.982609,19,8.114916
18.984732,19,8.131977
68.961058,69,8.192102
96.935484,97,8.272734
15.987926,16,8.292817
12.988264,13,8.306874
11.98692,12,8.317551
17.977306,18,8.331779
12.991678,13,8.345113
73.952828,74,8.41653
44.972478,45,8.456367
14.985734,15,8.469378
65.937379,66,8.535587
18.985141,19,8.552406
51.962437,52,8.604648
17.981773,18,8.630079
48.974967,49,8.682259
20.975967,21,8.700878
24.981553,25,8.721299
36.973773,37,8.762902
47.969671,48,8.813234
7.991076,8,8.819418
27.984845,28,8.842029
49.977586,50,8.886254
16.981293,17,8.902547
35.976977,36,8.934179
62.934799,63,8.998725
21.979409,22,9.020597
14.986703,15,9.033231
10.986751,11,9.043418
43.968834,44,9.097893
138.877734,139,9.249075
29.975562,30,9.276387
22.98078,23,9.301447
17.989773,18,9.318961
20.985777,21,9.336401
29.984806,30,9.365824
34.953562,35,9.409625
11.985944,12,9.427598
86.916932,87,9.538587
14.982639,15,9.554721
103.945945,104,9.662698
17.986617,18,9.677285
53.963478,54,9.724139
19.986323,20,9.750047
23.977208,24,9.769699
10.990435,11,9.776788
18.977082,19,9.793633
30.961058,31,9.823882
24.981089,25,9.850326
32.974162,33,9.886547
22.980948,23,9.906141
10.989031,11,9.918658
51.966484,52,12.154059
17.985653,18,12.168534
16.986643,17,12.195009
18.987628,19,12.21138
11.991155,12,12.221198
99.948217,100,12.316864
13.987681,14,12.330234
66.93525,67,12.398074
38.973696,39,12.433254
45.956156,46,12.475962
11.989527,12,12.488451
35.963661,36,12.530632
23.978795,24,12.556736
42.971154,43,12.593896
55.971044,56,12.64813
18.987579,19,12.665699
10.985728,11,12.675678
64.956928,65,12.73738
20.983108,21,12.763646
21.981201,22,12.792726
24.985601,25,12.81263
22.976526,23,12.832322
67.954666,68,12.896824
14.981696,15,12.913282
17.982202,18,12.927098
39.968584,40,12.965744
31.984182,32,12.99205
18.984762,19,13.012544
24.978242,25,13.0325
13.988505,14,13.04631
28.98346,29,13.074329
12.985102,13,13.091524
19.984755,20,13.11084
67.971501,68,13.181192
15.988506,16,13.195718
12.985959,13,13.211622
29.975785,30,13.238561
79.949495,80,13.315331
12.991394,13,13.330739
29.962568,30,13.36409
49.960533,50,13.416655
21.983636,22,13.436395
48.969817,49,13.488152
18.986173,19,13.515964
37.966568,38,13.553959
35.972605,36,13.58281
48.978307,49,13.632547
32.977813,33,13.663913
18.983548,19,13.680267
21.986256,22,13.698577
28.984975,29,13.724244
13.988919,14,13.744988
39.978099,40,13.778283
41.977337,42,13.815288
11.989996,12,13.827498
77.945424,78,13.906504
13.986418,14,13.917368
10.989423,11,13.927306
47.956743,48,13.980032
38.963565,39,14.026121
68.947078,69,14.099017
43.969892,44,14.137603
10.98987,11,14.14707
25.986938,26,14.182492
34.983785,35,14.214991
48.968825,49,14.260631
43.971672,44,14.303776
28.967209,29,14.34062
36.972073,37,14.371866
12.987918,13,14.382633
28.971703,29,14.411517
37.981436,38,14.447707
32.977272,33,14.475698
40.978707,41,14.514337
40.969516,41,14.556322
23.969935,24,14.579671
63.949995,64,14.665023
13.990803,14,14.681072
86.94636,87,14.759458
13.987072,14,14.772354
33.975358,34,14.807612
17.990629,18,14.822937
17.981063,18,14.853502
19.982715,20,14.874403
39.982531,40,14.913727
19.983291,20,14.936638
49.975502,50,14.981536
24.968849,25,15.007972
17.980949,18,15.02256
35.984288,36,15.058971
10.990173,11,15.07383
61.953877,62,15.131521
72.96469,73,15.210215
19.985085,20,15.228946
68.946385,69,15.297621
52.971367,53,15.364344
25.982427,26,15.390057
34.964209,35,15.423128
10.990448,11,15.433223
42.954999,43,15.484538
57.925898,58,15.536969
13.989052,14,15.549453
14.979552,15,15.563604
10.990116,11,15.574184
22.987586,23,15.594037
11.988091,12,15.604526
101.92941,102,15.723687
33.97447,34,15.759389
65.961507,66,15.81975
23.967287,24,15.845675
29.975532,30,15.871733
41.968243,42,15.918694
51.947794,52,15.97167
14.990924,15,15.984912
10.989956,11,15.995151
102.890537,103,16.09154
85.956933,86,16.163567
30.978959,31,16.196172
10.99039,11,16.212585
18.983848,19,16.235964
