#{"t_start": 1767371366.4988894, "env_id": "CartPole-v1"}
r,l,t
29.0,29,1.084059
10.0,10,1.085008
11.0,11,1.085987
36.0,36,1.089447
13.0,13,1.094054
16.0,16,1.095411
17.0,17,1.096795
19.0,19,1.098329
37.0,37,1.102543
27.0,27,1.104822
15.0,15,1.106189
13.0,13,1.107627
23.0,23,1.113668
10.0,10,1.114521
29.0,29,1.116865
18.0,18,1.118319
11.0,11,1.12054
11.0,11,1.121539
46.0,46,1.12539
11.0,11,1.126327
32.0,32,1.130124
47.0,47,1.133825
16.0,16,1.135131
26.0,26,1.137215
34.0,34,1.141577
16.0,16,1.142902
19.0,19,1.144428
22.0,22,1.14622
24.0,24,1.149418
15.0,15,1.150682
11.0,11,1.151623
17.0,17,1.15307
13.0,13,1.155785
30.0,30,1.15826
16.0,16,1.159602
66.0,66,1.164919
31.0,31,1.168763
18.0,18,1.17037
25.0,25,1.172895
19.0,19,1.174519
10.0,10,1.17668
27.0,27,1.178865
12.0,12,1.17988
12.0,12,1.180876
14.0,14,1.183307
17.0,17,1.184712
14.0,14,1.19861
15.0,15,1.21032
27.0,27,1.23734
15.0,15,1.2514
26.0,26,1.272972
11.0,11,1.283535
11.0,11,1.296629
15.0,15,1.314986
20.0,20,1.334919
19.0,19,1.35067
15.0,15,1.368468
16.0,16,1.383356
12.0,12,1.39494
67.0,67,1.467478
29.0,29,1.498208
14.0,14,1.514315
20.0,20,1.539777
36.0,36,1.577444
20.0,20,1.601606
20.0,20,1.622775
18.0,18,1.644698
60.0,60,1.706601
14.0,14,1.725212
31.0,31,1.757973
29.0,29,1.789384
33.0,33,1.821977
31.0,31,1.862494
27.0,27,1.889311
12.0,12,1.902762
25.0,25,1.933356
15.0,15,1.950355
15.0,15,1.972388
20.0,20,1.995397
16.0,16,2.01136
21.0,21,2.036671
16.0,16,2.048641
11.0,11,2.05715
10.0,10,2.06511
30.0,30,2.095984
51.0,51,2.141843
17.0,17,2.160255
10.0,10,2.173082
16.0,16,2.198582
12.0,12,2.213982
14.0,14,2.227894
49.0,49,2.283369
26.0,26,2.322141
13.0,13,2.336148
21.0,21,2.35778
27.0,27,2.387539
40.0,40,2.437479
28.0,28,2.466108
27.0,27,2.497276
13.0,13,2.510676
15.0,15,2.533399
12.0,12,2.546814
14.0,14,2.560743
9.0,9,2.573066
22.0,22,2.598961
15.0,15,2.615805
18.0,18,2.637612
16.0,16,2.655418
13.0,13,2.673668
24.0,24,2.691459
13.0,13,2.704801
16.0,16,2.722017
33.0,33,2.765635
40.0,40,2.810332
11.0,11,2.823404
24.0,24,2.854361
22.0,22,2.880504
15.0,15,2.89677
44.0,44,2.943861
12.0,12,2.959643
21.0,21,2.978028
18.0,18,2.992427
13.0,13,3.000823
35.0,35,3.026308
20.0,20,3.05101
15.0,15,3.073361
23.0,23,3.097747
15.0,15,3.117014
17.0,17,3.140143
19.0,19,3.161795
10.0,10,3.175557
12.0,12,3.194214
26.0,26,3.225778
22.0,22,3.252427
25.0,25,3.279537
14.0,14,3.296975
21.0,21,3.323889
22.0,22,3.344408
16.0,16,3.361975
14.0,14,3.379049
33.0,33,3.413834
34.0,34,3.450463
15.0,15,3.467833
19.0,19,3.490308
42.0,42,3.544361
41.0,41,3.579298
10.0,10,3.585253
20.0,20,3.600229
28.0,28,3.628295
19.0,19,3.651655
30.0,30,3.68303
20.0,20,3.705572
15.0,15,3.727362
12.0,12,3.742897
14.0,14,3.754305
15.0,15,3.764382
20.0,20,3.781691
46.0,46,3.821092
24.0,24,3.854182
39.0,39,3.900021
32.0,32,3.93584
56.0,56,4.001594
18.0,18,4.020167
44.0,44,4.073927
12.0,12,4.091522
42.0,42,4.140023
14.0,14,4.154076
29.0,29,4.190136
31.0,31,4.22793
36.0,36,4.268112
18.0,18,4.293781
38.0,38,4.336552
13.0,13,4.353184
29.0,29,4.38625
25.0,25,4.415348
12.0,12,4.428515
26.0,26,4.461685
33.0,33,4.501736
20.0,20,4.527065
33.0,33,4.56072
18.0,18,4.584025
19.0,19,4.606695
27.0,27,4.635473
17.0,17,4.649575
17.0,17,4.668917
18.0,18,4.68471
9.0,9,4.690825
12.0,12,4.699831
41.0,41,4.75521
9.0,9,4.769022
20.0,20,4.792912
20.0,20,4.816211
21.0,21,4.846199
22.0,22,4.869757
31.0,31,4.906747
15.0,15,4.924373
30.0,30,4.96259
19.0,19,4.985579
51.0,51,5.044888
11.0,11,5.060615
10.0,10,5.074464
8.0,8,5.083444
41.0,41,5.129576
13.0,13,5.146524
36.0,36,5.192277
22.0,22,5.216403
18.0,18,5.237968
14.0,14,5.251535
16.0,16,5.272684
58.0,58,5.345951
13.0,13,5.35949
15.0,15,5.376655
20.0,20,5.406039
49.0,49,5.450476
31.0,31,5.485387
11.0,11,5.494891
32.0,32,5.531262
27.0,27,5.562496
13.0,13,5.575778
34.0,34,5.61668
16.0,16,5.639848
26.0,26,5.667249
11.0,11,5.680699
13.0,13,5.693886
14.0,14,5.714324
24.0,24,5.746675
64.0,64,5.818357
19.0,19,5.84552
24.0,24,5.877626
15.0,15,5.892267
62.0,62,5.968436
34.0,34,6.006206
29.0,29,6.047184
17.0,17,6.070741
22.0,22,6.094664
17.0,17,6.116118
19.0,19,6.137379
39.0,39,6.186017
16.0,16,6.204389
35.0,35,6.245745
26.0,26,6.278419
14.0,14,6.297068
14.0,14,6.311889
11.0,11,6.32465
15.0,15,6.344371
14.0,14,6.358006
12.0,12,6.370873
29.0,29,6.410701
25.0,25,6.439919
31.0,31,6.475951
66.0,66,6.556072
22.0,22,6.582403
42.0,42,6.638838
19.0,19,6.657664
16.0,16,6.671732
20.0,20,6.69287
100.0,100,6.817956
12.0,12,6.835959
28.0,28,6.867022
13.0,13,6.882255
35.0,35,6.92899
98.0,98,7.041004
32.0,32,7.084003
23.0,23,7.110301
15.0,15,7.131377
44.0,44,7.184703
12.0,12,7.199343
29.0,29,7.230804
33.0,33,7.273031
41.0,41,7.326474
49.0,49,7.388437
28.0,28,7.421483
19.0,19,7.446303
18.0,18,7.464657
55.0,55,7.534438
33.0,33,7.571788
9.0,9,7.584056
47.0,47,7.645546
13.0,13,7.658655
16.0,16,7.676569
16.0,16,7.697736
66.0,66,7.776036
16.0,16,7.796298
42.0,42,7.843722
45.0,45,7.882816
