#{"t_start": 1767407967.2885664, "env_id": "LunarLander-v3"}
r,l,t
-351.413789,110,1.838509
-55.418633,70,1.967046
-47.200186,144,2.250226
-319.649968,93,2.429855
-456.415063,92,2.606896
-45.233505,107,2.829851
-164.179358,67,2.955245
-358.542819,100,3.164801
-141.101771,110,3.374109
-78.264286,70,3.517393
-86.253075,99,6.058032
-314.123259,95,6.25368
-92.309208,71,6.389702
-107.812602,118,6.634523
-185.637278,78,6.791236
56.83535,1000,11.226438
-184.985882,114,11.466459
-145.951702,112,11.701751
-44.181319,71,11.8553
-156.823083,90,12.032539
-143.406942,164,12.359497
-101.73592,88,12.5408
-298.663212,240,15.42097
-69.893553,63,15.542686
-194.4524,145,15.834821
-82.674287,62,15.958893
-333.788266,111,16.181473
-135.738931,73,16.330237
-72.072515,58,16.444597
-116.245478,121,16.696222
-211.458926,126,16.946487
-121.869039,101,19.537199
-201.386478,171,19.871357
-292.875032,207,20.28528
-354.659717,146,20.574442
-97.386855,96,20.764623
-255.428429,170,21.102412
-367.326569,121,21.338968
-82.863803,183,24.080413
-407.883442,163,24.404099
-192.404953,101,24.608915
-263.973188,120,24.852278
-439.824082,238,25.331884
-53.679647,81,25.493744
5.823449,105,25.709396
-206.500821,109,28.223569
-160.632363,151,28.525116
-45.601061,101,28.73139
-104.090185,150,29.013624
-185.569354,152,29.306727
-73.554313,116,29.531631
-204.126752,94,29.722632
-39.004686,174,30.089169
-219.507476,90,32.617642
-59.043283,101,32.825144
-214.97226,123,33.074041
-213.724282,115,33.313883
-51.838928,146,33.599512
-163.823141,161,33.914748
-19.759024,151,34.210899
-43.883273,217,37.195525
-177.670584,114,37.434056
-225.023696,119,37.678554
-348.935532,148,37.979789
-143.880884,142,38.259467
-52.929274,170,38.608346
-217.284254,125,38.859606
-147.945871,143,39.141978
-20.771114,119,41.705966
10.463939,105,41.919328
-293.630193,218,42.356211
-59.721929,148,42.657778
-95.082362,195,43.039017
-60.57051,97,47.637409
-99.305124,133,47.903076
-136.080044,127,50.642604
-44.837291,84,50.812216
-44.516259,131,51.065892
-42.256847,113,51.298487
-55.961855,132,51.572153
-211.950457,168,51.883862
-10.778528,119,52.118456
-171.690561,180,52.472988
-89.511024,133,55.058944
-66.492398,133,55.338574
63.866567,1000,59.724595
-206.430268,136,60.00445
-24.508451,125,60.262501
-52.846715,123,60.496047
-75.458849,217,60.940367
37.257224,144,61.239882
-9.911252,116,63.795191
-127.710962,181,64.163308
35.681548,1000,68.568783
67.827658,1000,72.923529
-197.960841,182,73.295407
-59.308671,206,73.695417
12.968776,203,74.108843
-70.821545,193,74.505338
-159.705054,234,77.409925
-30.300291,153,77.706906
-246.470882,208,78.131819
29.823335,215,78.558394
-110.7083,200,78.959641
20.326513,164,81.655124
-19.406166,227,82.100486
16.721804,188,82.491896
112.139643,1000,86.93016
-66.611262,199,87.320787
-77.955321,260,87.842558
-146.493324,297,90.814605
-18.248124,234,91.282599
-55.592802,279,98.467952
-68.216799,208,98.872779
-46.240472,172,101.588008
-55.149247,282,102.129086
-62.320106,223,102.553254
-119.297755,227,103.00858
-36.581023,316,106.02327
-38.787724,224,106.470764
-6.852147,319,107.08445
22.346891,290,107.663458
-32.917656,341,110.656348
18.845394,194,111.049886
-30.7894,232,111.505522
56.493923,1000,115.824805
140.690585,1000,120.154853
-3.408773,388,123.245939
16.279199,1000,125.252
103.627753,1000,129.688599
49.225002,1000,134.073301
75.130799,1000,138.496554
99.764245,1000,159.724337
102.776333,1000,164.023417
56.042342,1000,168.423931
57.301985,1000,172.764975
108.47142,1000,177.069427
106.131438,1000,181.439059
83.459575,1000,185.772994
207.94084,508,189.126637
129.273597,727,190.574083
231.409868,428,193.774829
88.68701,1000,198.119616
11.46469,317,198.737062
238.488787,408,201.856534
233.568164,424,213.605653
-31.704273,342,214.277262
225.073784,385,217.537248
94.813996,1000,221.891941
77.093273,1000,226.217454
116.654017,1000,230.577118
168.991106,696,231.99199
238.33175,424,235.199261
103.558615,1000,239.515382
196.406822,433,240.385858
245.833561,392,241.190314
226.371582,418,244.380885
179.124512,467,245.303926
235.456321,533,248.738832
-5.560873,394,249.529234
241.433873,400,252.780692
133.086342,1000,270.567022
223.47438,371,271.301366
230.770041,333,271.97179
242.988755,624,275.636714
241.974571,438,276.577332
12.09268,283,279.6517
54.58078,1000,283.97046
250.668492,381,284.738979
230.675508,357,285.438001
238.770703,384,288.575285
190.196185,610,289.778259
248.478502,573,293.321215
-16.565774,236,293.805266
238.152811,374,294.54847
264.301466,292,297.4036
250.499176,373,298.123906
209.047028,312,298.731454
113.792612,1000,303.148366
230.265212,300,306.122796
233.350962,295,306.697342
248.024088,308,307.3319
232.431539,283,310.420796
224.317114,342,311.101694
235.068795,308,318.229304
234.870753,281,318.766986
245.277565,287,321.653317
240.502519,301,322.224045
246.15288,316,322.853165
9.57037,217,325.570533
259.496864,542,326.638583
226.547859,300,327.211192
258.108039,263,330.116138
236.705893,331,330.761581
280.141705,247,331.21678
235.611448,316,331.866756
256.915874,269,334.732227
237.437789,294,335.305992
263.825892,288,335.886442
265.764794,272,338.854607
-23.107911,202,339.250697
212.975909,278,339.839504
239.61263,725,343.630557
261.652474,275,344.177664
249.063149,298,344.77601
274.220562,299,347.796303
270.449274,300,348.390439
251.885564,335,349.036612
20.00061,301,351.860496
244.98322,681,353.196118
144.731687,1000,357.592415
247.69931,242,358.071058
244.233207,272,360.919564
247.092521,355,368.929718
271.494092,299,369.502283
242.010929,354,372.619096
278.020355,254,373.125364
228.476659,276,373.643766
99.316483,1000,377.957392
261.127735,262,378.470598
271.801156,249,381.285687
268.201607,270,381.831219
141.962761,1000,386.174614
38.062518,220,386.574713
268.587235,277,387.112326
231.70309,261,389.885275
223.179742,262,390.401543
263.731298,279,390.948711
265.191044,356,394.065961
238.350899,280,394.649305
272.249751,240,395.139324
259.143735,278,395.689921
269.242167,287,398.881998
268.774391,289,399.455637
256.055525,967,403.827142
230.040788,286,404.394181
246.565209,277,404.937895
251.575604,276,407.93052
263.640273,246,408.402964
156.492059,1000,418.403654
214.78565,288,418.980366
288.041643,378,419.732435
240.965246,285,422.63791
253.567555,261,423.136877
267.530609,238,423.611808
127.746855,1000,427.969135
259.61324,272,428.503129
41.573936,191,431.20707
266.881783,249,431.664346
244.399271,268,432.194507
273.131002,254,432.687179
260.718819,276,435.614368
263.515985,265,436.497635
146.849307,1000,440.945735
272.608394,278,441.486343
261.916539,280,442.034874
266.079583,254,444.871375
234.000273,248,445.357478
33.351773,181,445.720076
259.421542,261,446.243667
163.718378,1000,450.707521
271.896219,276,453.63393
245.281507,263,454.172177
14.305518,198,454.582374
254.630293,274,455.127018
271.879631,262,458.150974
229.964382,260,458.65947
292.241272,384,459.430633
271.31577,247,466.307052
265.093429,268,469.303645
254.091174,274,469.854158
265.979794,270,470.379345
286.172722,251,473.259076
237.308024,258,473.771643
273.504104,258,474.287838
