#{"t_start": 1767376467.3174062, "env_id": "CartPole-v1"}
r,l,t
27.981082,28,1.462496
24.983031,25,1.499269
10.987809,11,1.518752
15.990176,16,1.541892
8.990546,9,1.555284
12.98743,13,1.577218
18.981512,19,1.606967
16.982709,17,1.637395
13.989942,14,1.660212
23.973188,24,1.69897
53.97278,54,1.79214
19.978714,20,1.825304
15.986357,16,1.855849
13.984954,14,1.879689
11.989878,12,1.901142
16.981085,17,1.929982
21.986066,22,1.973696
14.988696,15,1.998606
10.987594,11,2.017417
35.972114,36,2.084332
38.980382,39,2.151959
22.97806,23,2.19592
18.989827,19,2.228186
31.975094,32,2.279774
16.981369,17,4.007131
55.974518,56,4.107487
21.979508,22,4.148417
14.986049,15,4.17908
12.985713,13,4.201232
27.988649,28,4.249481
14.982276,15,4.280284
42.977747,43,4.349283
69.969456,70,4.470851
20.981998,21,4.510434
15.983235,16,4.537754
27.9814,28,4.587739
52.957004,53,4.684724
36.968483,37,4.756387
37.981852,38,4.824606
11.988488,12,4.842849
23.974261,24,4.884394
17.981655,18,6.63644
45.952116,46,6.718113
26.97893,27,6.760613
49.961669,50,6.848022
35.962807,36,6.906357
105.940912,106,7.096658
31.960395,32,7.155874
30.975709,31,7.210172
45.950268,46,7.293935
32.960543,33,7.35164
29.965075,30,7.402229
17.987736,18,7.433192
173.878128,174,9.404694
133.925655,134,9.635418
50.933669,51,9.726797
84.90186,85,9.875764
93.9475,94,10.043747
64.954946,65,11.791903
97.921827,98,11.97093
241.85772,242,12.38477
178.872361,179,14.414292
179.892363,180,14.723615
151.876823,152,14.981383
235.84343,236,17.037854
182.904328,183,17.359227
231.849715,232,19.455856
257.888214,258,19.893892
243.843548,244,20.329932
69.962167,70,22.059756
499.67106,500,24.652912
98.925771,99,24.824666
482.623238,483,27.319904
285.765769,286,27.801039
499.643083,500,30.540048
499.825139,500,33.052152
499.797271,500,35.528748
499.807395,500,38.139724
499.705064,500,40.790795
499.87563,500,43.25966
499.844351,500,45.841711
499.810203,500,48.353313
499.902957,500,55.403515
499.876673,500,57.89948
499.776051,500,60.405159
499.85531,500,63.00636
435.724559,436,65.38196
499.6945,500,67.959036
499.861527,500,70.530432
499.784802,500,73.07619
499.810138,500,75.558026
499.888296,500,78.119372
499.886704,500,80.743158
499.891011,500,83.349404
499.909437,500,86.062849
499.936724,500,88.682203
499.912159,500,91.293699
499.917668,500,93.816736
499.936562,500,96.534477
499.929394,500,99.160567
499.943685,500,101.776214
499.950685,500,104.323211
499.940256,500,105.176705
499.953673,500,112.149212
499.954438,500,114.665503
499.94852,500,117.262504
499.962567,500,119.888768
499.967971,500,122.487438
499.961275,500,125.075877
499.9702,500,127.683016
499.968559,500,130.172294
499.964852,500,132.721692
499.966353,500,135.331908
499.960995,500,137.797719
499.967885,500,140.271269
499.974117,500,142.808287
499.971096,500,145.463118
499.973969,500,148.036736
499.970599,500,150.656995
499.972611,500,153.194173
499.974052,500,155.766456
499.971967,500,158.442718
499.978599,500,161.000296
499.973762,500,167.912004
499.973169,500,170.558086
499.974616,500,173.161402
499.976751,500,175.775912
499.974158,500,178.296216
499.976221,500,180.848028
499.979081,500,183.404386
499.977766,500,185.902454
499.976029,500,188.521185
499.978174,500,191.00602
499.980366,500,193.528027
499.974474,500,196.080515
499.977865,500,198.61259
499.979613,500,201.189679
499.978997,500,203.713909
