#{"t_start": 1767375352.927129, "env_id": "CartPole-v1"}
r,l,t
14.0,14,1.361444
26.0,26,1.397008
16.0,16,1.418923
14.0,14,1.441785
25.0,25,1.480735
19.0,19,1.508109
34.0,34,1.561447
19.0,19,1.5907
14.0,14,1.612467
36.0,36,1.671262
15.0,15,1.6968
32.0,32,1.748781
19.0,19,1.785529
18.0,18,1.814239
21.0,21,1.848395
27.0,27,1.898509
14.0,14,1.917562
34.0,34,1.968143
14.0,14,1.988835
47.0,47,2.067846
11.0,11,2.086494
22.0,22,2.126608
39.0,39,4.018327
11.0,11,4.036223
14.0,14,4.06035
23.0,23,4.10134
78.0,78,4.238262
22.0,22,4.274712
40.0,40,4.347198
13.0,13,4.370699
38.0,38,4.446208
11.0,11,4.465903
26.0,26,4.508736
14.0,14,4.533085
46.0,46,4.615762
11.0,11,4.634415
12.0,12,4.659627
19.0,19,4.690581
33.0,33,4.747446
32.0,32,4.808506
38.0,38,4.877174
33.0,33,6.681773
36.0,36,6.744853
20.0,20,6.782022
30.0,30,6.828689
32.0,32,6.887239
40.0,40,6.952765
84.0,84,7.10066
22.0,22,7.138135
49.0,49,7.226097
16.0,16,7.255001
40.0,40,7.327338
100.0,100,7.496003
31.0,31,9.355596
65.0,65,9.468019
44.0,44,9.547927
18.0,18,9.575875
119.0,119,9.778739
116.0,116,9.978801
26.0,26,10.0267
57.0,57,10.1287
32.0,32,10.185812
22.0,22,10.218225
87.0,87,12.279505
16.0,16,12.312549
146.0,146,12.567496
122.0,122,12.780832
91.0,91,12.935889
177.0,177,15.008725
216.0,216,15.392882
102.0,102,15.573353
164.0,164,17.524623
164.0,164,17.806834
215.0,215,18.184929
291.0,291,20.413286
327.0,327,22.595771
500.0,500,25.158927
487.0,487,27.758786
357.0,357,28.363903
178.0,178,30.433596
500.0,500,32.931311
396.0,396,33.601932
370.0,370,35.924637
220.0,220,38.002131
449.0,449,38.772056
500.0,500,41.335469
500.0,500,43.852629
500.0,500,46.418973
500.0,500,48.974619
500.0,500,56.018489
500.0,500,58.614053
500.0,500,61.141271
500.0,500,63.879273
500.0,500,66.505342
500.0,500,69.003674
500.0,500,71.564967
500.0,500,74.178222
500.0,500,76.789557
500.0,500,79.413665
500.0,500,81.964436
500.0,500,84.613824
500.0,500,87.379886
500.0,500,89.900823
500.0,500,92.454379
500.0,500,95.034617
500.0,500,97.563496
500.0,500,100.139213
500.0,500,102.696123
500.0,500,105.268306
500.0,500,112.214436
500.0,500,114.803077
500.0,500,117.269791
500.0,500,119.897661
500.0,500,122.580075
500.0,500,125.212331
500.0,500,127.810397
500.0,500,130.326197
500.0,500,133.017535
500.0,500,135.526518
500.0,500,138.069687
500.0,500,140.639226
500.0,500,143.214416
500.0,500,144.061099
500.0,500,146.689837
500.0,500,149.400563
500.0,500,151.968643
500.0,500,154.500358
500.0,500,157.038235
500.0,500,159.701349
500.0,500,166.751069
500.0,500,169.347871
500.0,500,171.939168
500.0,500,174.521266
500.0,500,177.055974
500.0,500,179.675795
500.0,500,182.225596
500.0,500,184.983371
500.0,500,187.608341
500.0,500,190.192978
500.0,500,192.816024
500.0,500,195.446476
500.0,500,198.054607
500.0,500,200.599567
500.0,500,203.195126
500.0,500,205.796236
