#{"t_start": 1767407151.3068225, "env_id": "LunarLander-v3"}
r,l,t
-94.818818,107,1.676923
-155.160351,69,1.79681
-65.1414,88,1.95206
-173.784481,65,2.08066
-114.774235,88,2.261744
-80.846898,102,2.47246
-41.652629,105,2.686752
-161.826216,120,2.936799
-230.173366,117,3.163341
-102.471681,83,3.322922
-97.492774,71,3.457344
-145.438633,78,6.005243
-134.341107,90,6.182765
-91.481453,69,6.318843
-112.268872,99,6.520589
-244.805636,121,6.755848
-177.985637,91,6.947354
-139.123746,113,7.185904
-189.84161,136,7.463152
-124.268928,124,7.719878
-171.556344,124,10.498148
-153.71677,124,10.751786
-70.452663,62,10.873952
-61.167127,92,11.065369
-95.664128,66,11.200101
11.879508,122,11.452298
-59.667373,67,11.601655
-120.393968,70,11.741417
-112.457611,89,11.92773
-203.199547,62,12.074836
-49.684244,67,12.246105
-175.734733,95,12.461613
-196.88985,81,12.641747
-419.046441,156,15.376308
-193.839169,134,15.646915
-179.130679,90,15.824842
-187.595963,107,16.049882
-184.368525,85,16.221297
-72.073163,89,16.388425
23.543137,89,16.563303
-277.811504,103,16.774552
-337.150378,109,16.995383
-125.798416,82,19.467121
-362.756826,149,19.774162
-99.71578,124,20.028817
-112.833563,112,20.25378
-301.438393,102,20.43875
-177.0901,94,20.640453
-61.949235,93,20.830231
-139.088964,169,21.179442
-182.561073,128,21.440255
-25.587124,143,24.114206
-101.269801,66,24.252884
-39.883627,86,24.419054
-188.371342,127,24.668762
-110.512426,93,24.850874
-76.173473,89,25.02607
-35.745385,76,25.175529
-125.823131,139,25.462233
-127.864864,118,25.696458
-252.29023,165,28.39959
-135.881631,124,28.635828
-102.802694,108,28.841329
-180.981699,108,29.064597
-63.940328,121,29.29888
-93.307305,137,29.587579
-81.670628,91,29.773838
-73.051966,78,29.932885
-75.376248,96,30.136255
-128.820895,128,30.391276
-88.548,169,33.087821
-109.083695,95,33.276383
-181.983622,116,33.484226
-98.558754,89,33.659278
-51.27161,206,34.088813
-94.094665,93,34.269185
-47.01516,174,34.719744
-13.78808,88,37.340906
-87.444463,156,37.657016
-86.390598,128,37.911148
-102.34969,115,38.13701
-187.604372,134,38.412384
-97.020817,125,38.662675
-18.662328,117,38.898951
-15.718833,158,39.207982
-99.640348,139,41.811501
-83.505219,143,42.100044
-52.672364,115,42.336316
-68.881721,123,42.580265
-314.231189,246,43.066087
-174.057559,144,47.981064
-42.749544,188,48.355275
18.537182,1000,52.663815
-14.338381,123,55.258286
-158.67779,230,55.729223
1.420907,237,56.207763
-43.0631,214,56.658305
-42.003498,232,57.12131
103.036077,1000,61.397163
38.626223,1000,65.697708
38.493037,149,68.36764
-210.35455,283,68.94208
-26.985428,247,69.455465
-25.471362,172,69.811085
-61.504068,191,70.210493
-126.451828,253,73.210744
11.109537,1000,77.642425
123.576468,1000,82.078383
-83.796435,325,82.723118
116.208625,1000,87.087144
-43.974343,220,87.521223
-26.154469,414,90.652615
152.610821,1000,103.09913
-34.163031,312,103.710979
-4.63382,224,104.158856
-30.370087,237,104.652605
119.025744,1000,109.049654
95.95165,1000,113.347153
42.351941,1000,117.633791
-10.531986,275,118.191411
