#{"t_start": 1767377129.2934496, "env_id": "CartPole-v1"}
r,l,t
14.981913,15,1.248548
14.979298,15,1.268502
61.923751,62,1.361371
9.987448,10,1.376266
17.981842,18,1.402871
28.981699,29,1.449219
13.979175,14,1.470553
17.980838,18,1.498854
29.972134,30,1.551581
37.957802,38,1.612567
16.982916,17,1.640267
15.984641,16,1.668324
56.958027,57,1.768483
19.972128,20,1.796788
12.987092,13,1.819717
20.97767,21,1.856808
12.983639,13,1.883476
10.983115,11,1.902367
19.980827,20,1.935261
24.975376,25,1.981354
14.977497,15,2.009946
17.976621,18,2.041779
11.984785,12,2.062929
13.983741,14,3.829152
14.980851,15,3.854957
24.979084,25,3.902265
24.97108,25,3.945582
23.971359,24,4.054489
23.976697,24,4.097996
11.982318,12,4.120928
60.950729,61,4.229438
22.971414,23,4.268605
32.978216,33,4.331599
9.986785,10,4.349037
29.97402,30,4.402153
11.982762,12,4.427687
12.986572,13,4.450651
9.98608,10,4.46796
17.982101,18,4.499087
16.978385,17,4.534034
13.982844,14,4.560279
14.987201,15,4.587124
12.988486,13,4.609775
33.960206,34,4.674651
11.9823,12,4.694743
35.972602,36,4.762262
16.977945,17,4.791721
8.988648,9,4.807488
120.611599,121,6.702409
39.943453,40,6.777247
60.944997,61,6.888225
49.944406,50,6.984178
21.968797,22,7.023441
40.939273,41,7.093812
17.976396,18,7.123669
16.978074,17,7.151933
56.927307,57,7.257122
12.985397,13,7.278726
87.799151,88,9.091402
86.675637,87,9.243252
134.838802,135,9.485017
29.967171,30,9.5378
87.910709,88,9.695872
27.962447,28,9.749304
72.862778,73,9.876993
109.775077,110,11.698316
199.712279,200,12.043396
108.767208,109,12.235112
284.490511,285,14.399584
29.959338,30,14.450723
130.871617,131,14.680251
164.386668,165,14.970019
195.531801,196,16.967012
96.814517,97,17.124277
160.543868,161,17.410407
190.301163,191,19.416147
199.345807,200,19.766191
223.140562,224,20.162215
499.012518,500,22.675009
310.485421,312,24.896377
209.083314,210,25.273173
259.869806,261,27.512662
379.241121,381,29.872275
497.714346,500,32.482773
499.072103,500,35.192703
499.558354,500,37.811939
499.251954,500,40.376094
498.652123,500,42.95557
499.327957,500,45.471269
499.576178,500,48.012666
499.499476,500,50.543113
499.56406,500,57.561179
499.534353,500,60.148355
499.415595,500,61.029515
499.613838,500,63.614728
499.475401,500,66.13232
499.583552,500,68.713371
499.58279,500,71.281797
499.423051,500,73.90492
499.600195,500,76.443542
499.717476,500,79.013549
499.678675,500,81.678878
499.63447,500,84.167234
499.609143,500,86.66399
499.647163,500,89.340683
499.818336,500,91.943128
499.758967,500,94.435421
499.795446,500,97.139083
499.55089,500,99.711766
499.832473,500,102.234767
499.831872,500,104.779446
499.842287,500,111.803138
499.849328,500,114.458965
499.858726,500,117.090754
499.885621,500,119.629093
499.887354,500,122.183257
499.854358,500,124.739371
499.893202,500,127.288095
499.833013,500,129.84011
499.907269,500,132.419378
499.899811,500,134.996214
499.789191,500,137.605983
499.907851,500,140.234007
499.908814,500,142.795814
499.895704,500,145.375425
499.870056,500,148.139257
499.880966,500,150.657349
499.890916,500,153.265008
499.940626,500,155.84419
499.891956,500,158.402735
499.914865,500,160.967211
499.940212,500,168.012659
499.920993,500,170.600812
499.947545,500,173.140306
499.924515,500,175.714947
499.916498,500,176.592015
499.932763,500,179.155329
499.913144,500,181.785426
499.957054,500,184.37909
499.906472,500,186.892128
499.897341,500,189.54529
499.945836,500,192.133698
499.94654,500,194.67315
499.942004,500,197.207277
499.937007,500,199.722513
499.934024,500,202.439249
499.91413,500,205.003411
