#{"t_start": 1767405562.6150708, "env_id": "LunarLander-v3"}
r,l,t
-126.117265,102,1.559103
-124.859887,99,1.746479
-125.7498,65,1.867214
-111.678828,58,1.987761
-125.072599,81,2.148389
-354.091891,103,2.349807
-85.919644,67,2.477239
-196.422089,107,2.687382
-89.831368,75,2.842555
-211.507179,87,3.01656
-87.785891,120,3.268367
-53.307713,90,5.886547
-80.812131,77,6.036298
-202.219613,89,6.223111
-171.082578,107,6.437886
-94.577185,96,6.63563
-101.102655,102,6.85191
-70.195836,64,6.977251
-60.423263,79,7.139363
-205.320594,94,7.329748
25.604472,64,7.462418
-115.076506,80,7.628535
-54.179389,97,7.825294
-215.753311,127,10.486973
-263.605843,106,10.688363
-203.88412,94,10.887372
-345.472571,146,11.177569
-370.783467,100,11.383053
-108.476776,96,11.572144
-331.542168,93,11.767326
-102.317382,80,11.933458
-66.812911,150,12.22453
-101.06539,82,14.613785
-72.895347,99,14.824395
-25.746173,147,15.108673
-89.465706,131,15.373778
-140.325804,103,15.589361
-43.702438,90,15.756061
-105.234058,95,15.953594
-209.189161,87,16.127022
-302.178061,142,16.420296
-341.821089,83,16.594882
-61.479031,109,19.144215
-289.861664,119,19.380721
-82.801681,119,19.629187
-31.534573,118,19.88291
-54.342822,103,20.092374
-44.348426,82,20.266164
-34.737407,82,20.426898
-286.001046,118,20.666081
-135.486352,86,20.83579
-55.417597,79,20.998256
-162.149074,191,23.750633
-75.423862,86,23.929123
-66.65249,146,24.221168
-34.976902,79,24.376942
-39.001854,90,24.549526
-151.537943,96,24.745045
-87.171007,103,24.942013
-252.905871,145,25.240919
-77.365389,98,25.416478
-13.204192,91,27.905059
-130.010281,98,28.103678
-96.193241,180,28.473164
-30.223467,72,28.619199
-63.671077,107,28.83765
-94.825701,163,29.159653
-32.974253,155,29.477312
-52.836154,173,29.820288
-155.043981,101,32.411639
-49.901122,93,32.602822
-410.7825,149,32.902023
-98.532066,137,33.183103
-156.346289,136,33.462259
-58.974607,79,33.613734
-249.345952,131,33.868945
-373.91258,114,34.097252
-106.958058,85,34.259865
