#{"t_start": 1767374687.1023595, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.477741
20.0,20,1.508532
37.0,37,1.563512
28.0,28,1.610181
19.0,19,1.635463
41.0,41,1.694522
15.0,15,1.722409
19.0,19,1.752958
12.0,12,1.770792
14.0,14,1.792557
16.0,16,1.816292
12.0,12,1.838543
20.0,20,1.872
23.0,23,1.911693
21.0,21,1.952408
31.0,31,2.004559
11.0,11,2.021611
32.0,32,2.075297
30.0,30,2.124727
20.0,20,2.163458
31.0,31,2.213396
12.0,12,2.233648
12.0,12,2.250004
15.0,15,2.275896
13.0,13,4.05906
19.0,19,4.09153
47.0,47,4.177335
22.0,22,4.214869
17.0,17,4.247658
23.0,23,4.290184
65.0,65,4.406986
71.0,71,4.527613
42.0,42,4.605917
32.0,32,4.663708
49.0,49,4.752295
22.0,22,4.784664
13.0,13,4.810643
15.0,15,4.839053
18.0,18,4.872148
74.0,74,6.809688
34.0,34,6.860227
33.0,33,6.918481
43.0,43,6.983471
14.0,14,7.00395
15.0,15,7.033458
52.0,52,7.126855
27.0,27,7.169218
38.0,38,7.2388
31.0,31,7.289158
19.0,19,7.32102
18.0,18,7.355479
89.0,89,7.509218
13.0,13,7.530701
55.0,55,7.62426
70.0,70,9.62081
21.0,21,9.652892
65.0,65,9.762128
33.0,33,9.823941
57.0,57,9.921528
39.0,39,9.989814
68.0,68,10.108196
103.0,103,10.289586
41.0,41,10.363273
60.0,60,12.140851
74.0,74,12.265384
96.0,96,12.437725
51.0,51,12.522972
130.0,130,12.744012
75.0,75,12.866135
28.0,28,12.919422
107.0,107,14.843889
105.0,105,15.034294
241.0,241,15.44895
150.0,150,17.538363
251.0,251,17.953853
193.0,193,20.045841
173.0,173,20.352044
500.0,500,22.96876
500.0,500,25.519783
500.0,500,28.11683
266.0,266,28.575689
500.0,500,31.133927
500.0,500,33.67183
500.0,500,36.216687
500.0,500,38.762647
500.0,500,41.304989
500.0,500,43.868722
500.0,500,46.463999
500.0,500,49.035655
500.0,500,56.016746
500.0,500,58.569836
500.0,500,61.100742
500.0,500,63.605959
500.0,500,66.232786
500.0,500,68.931387
500.0,500,71.503661
500.0,500,74.107984
500.0,500,76.828891
500.0,500,79.591876
500.0,500,82.153747
500.0,500,84.630418
500.0,500,87.154063
500.0,500,89.738255
500.0,500,92.338953
500.0,500,94.905784
500.0,500,97.503712
500.0,500,100.149327
500.0,500,102.806161
500.0,500,105.279312
500.0,500,112.308056
500.0,500,114.822127
500.0,500,117.375348
500.0,500,120.008194
500.0,500,122.543926
500.0,500,123.400526
500.0,500,125.967339
500.0,500,128.47208
500.0,500,131.793375
500.0,500,134.465862
500.0,500,137.061085
500.0,500,139.820007
500.0,500,142.424697
500.0,500,145.001956
500.0,500,147.551114
500.0,500,150.137534
500.0,500,152.745325
500.0,500,155.272129
500.0,500,157.886019
500.0,500,160.471051
500.0,500,167.560082
500.0,500,170.020751
500.0,500,172.537513
500.0,500,175.170617
500.0,500,177.702275
500.0,500,180.240185
500.0,500,182.83965
500.0,500,185.411652
500.0,500,187.984012
500.0,500,190.68414
500.0,500,193.164371
500.0,500,195.796317
500.0,500,198.396279
500.0,500,200.938872
500.0,500,203.643833
500.0,500,206.268966
