#{"t_start": 1767375352.8196661, "env_id": "CartPole-v1"}
r,l,t
16.0,16,1.471319
29.0,29,1.511045
43.0,43,1.578033
14.0,14,1.598146
15.0,15,1.620089
13.0,13,1.639377
45.0,45,1.710647
15.0,15,1.733862
10.0,10,1.749648
21.0,21,1.785825
11.0,11,1.804263
23.0,23,1.841855
9.0,9,1.856328
25.0,25,1.902288
11.0,11,1.919899
11.0,11,1.93642
11.0,11,1.955879
12.0,12,1.976194
65.0,65,2.078454
30.0,30,2.127141
16.0,16,2.153278
18.0,18,2.183463
14.0,14,2.208349
13.0,13,2.232397
9.0,9,2.247571
25.0,25,4.117627
18.0,18,4.145219
15.0,15,4.171489
15.0,15,4.196256
15.0,15,4.225439
18.0,18,4.255677
49.0,49,4.342002
18.0,18,4.373243
25.0,25,4.412579
89.0,89,4.58328
9.0,9,4.597581
69.0,69,4.720347
23.0,23,4.761997
31.0,31,4.815101
38.0,38,4.886893
22.0,22,4.923896
20.0,20,4.958856
11.0,11,4.981377
43.0,43,6.803346
64.0,64,6.914573
20.0,20,6.946032
41.0,41,7.019266
76.0,76,7.145417
17.0,17,7.173893
58.0,58,7.279402
22.0,22,7.32221
38.0,38,7.387707
34.0,34,7.449941
14.0,14,7.47403
93.0,93,7.630762
43.0,43,9.51085
102.0,102,9.688784
67.0,67,9.807298
122.0,122,10.010133
52.0,52,10.103283
24.0,24,10.146317
84.0,84,10.296843
61.0,61,12.304756
77.0,77,12.447247
108.0,108,12.634373
50.0,50,12.720584
112.0,112,12.91324
141.0,141,14.919382
139.0,139,15.169841
76.0,76,15.306143
215.0,215,15.683654
148.0,148,17.6078
156.0,156,17.876026
185.0,185,18.20426
312.0,312,20.462646
217.0,217,20.826383
228.0,228,22.852937
98.0,98,23.02753
443.0,443,25.486999
254.0,254,25.932927
500.0,500,28.540305
410.0,410,31.019148
264.0,264,33.096452
472.0,472,35.580357
368.0,368,36.216036
500.0,500,38.772763
500.0,500,41.334332
500.0,500,43.853883
500.0,500,46.419587
500.0,500,48.973431
500.0,500,56.034552
500.0,500,58.6104
500.0,500,61.142888
500.0,500,63.878793
500.0,500,66.510111
500.0,500,69.008825
500.0,500,71.556733
500.0,500,74.17698
500.0,500,76.79114
500.0,500,79.412456
500.0,500,81.964252
500.0,500,84.614465
500.0,500,87.386149
500.0,500,89.902291
500.0,500,92.457931
500.0,500,95.041658
500.0,500,97.563317
500.0,500,100.140389
500.0,500,102.692135
500.0,500,105.274668
500.0,500,112.227594
500.0,500,114.802057
500.0,500,117.275934
500.0,500,119.893355
500.0,500,122.587294
500.0,500,125.21696
500.0,500,127.820981
500.0,500,130.333778
500.0,500,131.203119
500.0,500,133.901693
500.0,500,136.380594
500.0,500,138.943247
500.0,500,141.501085
500.0,500,144.060974
500.0,500,146.685862
500.0,500,149.403296
500.0,500,151.96717
500.0,500,154.500601
500.0,500,157.034192
500.0,500,159.707009
500.0,500,166.762113
500.0,500,169.357213
500.0,500,171.944859
500.0,500,174.520193
500.0,500,177.053626
500.0,500,179.672881
500.0,500,182.224658
500.0,500,184.981441
500.0,500,187.611795
500.0,500,190.194887
500.0,500,192.817915
500.0,500,195.447433
500.0,500,198.05385
500.0,500,200.599113
500.0,500,203.194776
500.0,500,205.798707
